id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
urn:lsid:taxonomy.org.au:MAMM:M28147;2019-01-11T09:32:10;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28147;;;;;;1;individuals;;;present;;;;;;;;;;24/09/1985 23.09;;1985;9;;;;Australia;Northern Territory;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M28129;2019-01-11T09:32:59;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28129;;;;;;1;individuals;;;present;;;;;;;;;;30/09/1985 23.09;;1985;10;;;;;;;;;;-1.083.333;13.581.667;;;POINT (135.81667 -10.83333);;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M26625;2019-01-11T09:32:11;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M26625;;;;;;1;individuals;;;present;;;;;;;;;;25/09/1984 23.09;;1984;9;;;;;;;;;;-12.3;127.45.00;;;POINT (127.45000 -12.30000);;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M28146;2019-01-11T09:33:02;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28146;;;;;;1;individuals;;;present;;;;;;;;;;17/09/1984 23.09;;1984;9;;;;Australia;Northern Territory;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M26628;2019-01-11T09:32:41;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M26628;;;;;;1;individuals;;;present;;;;;;;;;;10/10/1984 23.10;;1984;10;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M26627;2019-01-11T09:32:21;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M26627;;;;;;1;individuals;;;present;;;;;;;;;;08/10/1984 23.10;;1984;10;;;;;;;;;;-12.6;126.03.00;;;POINT (126.30000 -12.60000);;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M28144;2019-01-11T09:32:46;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28144;;;;;;1;individuals;;;present;;;;;;;;;;17/10/1985 23.10;;1985;10;;;;Australia;Northern Territory;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M28149;2019-01-11T09:32:47;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28149;;;;;;1;individuals;;;present;;;;;;;;;;23/09/1985 23.09;;1985;9;;;;;;;;;;-11.1;13.593.333;;;POINT (135.93333 -11.10000);;;;;;;urn:lsid:marinespecies.org:taxname:383576;urn:lsid:biodiversity.org.au:afd.taxon:b575c0e8-4f68-481d-8314-d13de1584dcf;Stenella longirostris roseiventris;Animalia;Chordata;Mammalia;Delphinidae;Stenella;;;;subspecies;;Dwarf Spinner Dolphin
urn:lsid:taxonomy.org.au:MAMM:M54188;2019-01-11T09:32:51;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M54188;;;;;;1;individuals;;;present;;;;;;;;;;31/05/1964 23.05;;1964;6;;;;Australia;Western Australia;;;;;-2.076.667;115.04.00;;;POINT (115.40000 -20.76667);;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M9986;2019-01-11T09:32:53;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M9986;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.076.667;115.04.00;;;POINT (115.40000 -20.76667);;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
