id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WHALE_LOG:WL-117;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-117;WL-117;Crew and expeditioners on voyage;1;;;present;1991-02-07 06:00:00+00;1991;2;7;diving twice, then under ice;Southern Ocean;Antarctica;Southern Ocean;;;-6.579.700.000;10.866.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-118;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-118;WL-118;Crew and expeditioners on voyage;1;;;present;1991-02-07 11:53:00+00;1991;2;7;diving 50 m off stbd bow;Southern Ocean;Antarctica;Southern Ocean;;;-6.610.000.000;10.885.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-119;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-119;WL-119;Crew and expeditioners on voyage;1;;;present;1991-02-07 11:55:00+00;1991;2;7;blowing and diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.611.700.000;10.888.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-12;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-12;WL-12;Crew and expeditioners on voyage;1;;;present;1995-10-19 06:09:00+00;1995;10;19;in small hole in ice;Southern Ocean;Antarctica;Southern Ocean;;;-6.751.700.000;7.753.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-120;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-120;WL-120;Crew and expeditioners on voyage;;;;present;1991-02-07 11:58:00+00;1991;2;7;blowing and diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.611.700.000;10.888.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-121;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-121;WL-121;Crew and expeditioners on voyage;1;;;present;1991-02-07 10:00:00+00;1991;2;7;diving 5 m from bow;Southern Ocean;Antarctica;Southern Ocean;;;-6.616.700.000;10.921.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-122;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-122;WL-122;Crew and expeditioners on voyage;;;;present;1991-02-07 10:53:00+00;1991;2;7;diving twice;Southern Ocean;Antarctica;Southern Ocean;;;-6.620.000.000;10.928.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-123;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-123;WL-123;Crew and expeditioners on voyage;;;;present;1997-02-12 11:40:00+00;1997;2;12;blowing diving near bergs;Southern Ocean;Antarctica;Southern Ocean;;;-6.600.000.000;10.993.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-124;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-124;WL-124;Crew and expeditioners on voyage;6;;;present;1997-02-13 15:38:00+00;1997;2;13;blowing and diving in pod;Southern Ocean;Antarctica;Southern Ocean;;;-6.613.300.000;9.476.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-125;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-125;WL-125;Crew and expeditioners on voyage;7;;;present;1997-02-16 02:00:00+00;1997;2;16;3 male, blowing in pod;Southern Ocean;Antarctica;Southern Ocean;;;-6.780.000.000;7.770.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:WHALE_LOG:WL-126;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-126;WL-126;Crew and expeditioners on voyage;4;;;present;1997-02-16 01:44:00+00;1997;2;16;surfacing;Southern Ocean;Antarctica;Southern Ocean;;;-6.796.700.000;7.773.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:WHALE_LOG:WL-127;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-127;WL-127;Crew and expeditioners on voyage;3;;;present;1997-02-16 01:44:00+00;1997;2;16;blowing and diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.796.700.000;7.773.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-129;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-129;WL-129;Crew and expeditioners on voyage;1;;;present;1997-02-16 10:08:00+00;1997;2;16;blowing and diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.836.700.000;7.703.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-13;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-13;WL-13;Crew and expeditioners on voyage;3;;;present;1995-12-01 23:20:00+00;1995;12;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.450.000.000;11.360.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137097;Globicephala melas;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Globicephala;melas;;Traill,1809
urn:catalog:AADC:WHALE_LOG:WL-130;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-130;WL-130;Crew and expeditioners on voyage;5;;;present;1997-03-07 13:40:00+00;1997;3;7;across ship;Southern Ocean;Antarctica;Southern Ocean;;;-6.701.700.000;7.518.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-131;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-131;WL-131;Crew and expeditioners on voyage;4;;;present;1997-03-09 12:17:00+00;1997;3;9;breaching;Southern Ocean;Antarctica;Southern Ocean;;;-6.686.700.000;6.503.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
