id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:BANZARE:BANZARE-120;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-120;BANZARE-120;BANZARE Expedition crew;4;;;present;1931-01-27 10:00:00+00;1931;1;27;;Southern Ocean;Antarctica;Southern Ocean;;;-6.512.100.000;10.753.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-121;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-121;BANZARE-121;BANZARE Expedition crew;6;;;present;1931-01-27 10:00:00+00;1931;1;27;;Southern Ocean;Antarctica;Southern Ocean;;;-6.512.100.000;10.753.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=231405;Balaenoptera bonaerensis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;bonaerensis;;Burmeister, 1867
urn:catalog:AADC:BANZARE:BANZARE-122;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-122;BANZARE-122;BANZARE Expedition crew;;;;present;1931-01-27 11:30:00+00;1931;1;27;;Southern Ocean;Antarctica;Southern Ocean;;;-6.511.800.000;10.740.900.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-123;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-123;BANZARE-123;BANZARE Expedition crew;;;;present;1931-01-27 11:30:00+00;1931;1;27;;Southern Ocean;Antarctica;Southern Ocean;;;-6.511.800.000;10.740.900.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=231405;Balaenoptera bonaerensis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;bonaerensis;;Burmeister, 1867
urn:catalog:AADC:BANZARE:BANZARE-124;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-124;BANZARE-124;BANZARE Expedition crew;1;;;present;1931-01-28 15:00:00+00;1931;1;28;;Southern Ocean;Antarctica;Southern Ocean;;;-6.469.000.000;10.321.300.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-125;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-125;BANZARE-125;BANZARE Expedition crew;2;;;present;1931-01-28 21:00:00+00;1931;1;28;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.200.000;10.210.400.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-126;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-126;BANZARE-126;BANZARE Expedition crew;3;;;present;1931-01-29 19:00:00+00;1931;1;29;;Southern Ocean;Antarctica;Southern Ocean;;;-6.393.100.000;9.834.200.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-127;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-127;BANZARE-127;BANZARE Expedition crew;1;;;present;1931-01-29 19:00:00+00;1931;1;29;;Southern Ocean;Antarctica;Southern Ocean;;;-6.393.100.000;9.834.200.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-128;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-128;BANZARE-128;BANZARE Expedition crew;3;;;present;1931-01-29 21:00:00+00;1931;1;29;;Southern Ocean;Antarctica;Southern Ocean;;;-6.390.200.000;9.805.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-129;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-129;BANZARE-129;BANZARE Expedition crew;6;;;present;1931-01-29 21:00:00+00;1931;1;29;;Southern Ocean;Antarctica;Southern Ocean;;;-6.390.200.000;9.805.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
