id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
47329;2019-12-19T09:17:42;;;;;HumanObservation;;47329;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;23/09/1956;;;;;;;Australia;;;;0;0;-360.333;175.183;2000;0,124305556;POINT (175.18300 -36.03330);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47330;2019-12-19T09:17:42;;;;;HumanObservation;;47330;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;24/09/1956;;;;;;;Australia;;;;0;0;-36.05;174.967;2000;0,124305556;POINT (174.96700 -36.05000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47331;2019-12-19T09:17:42;;;;;HumanObservation;;47331;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;26/09/1956;;;;;;;Australia;;;;0;0;-360.833;175.033;2000;0,124305556;POINT (175.03300 -36.08330);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47332;2019-12-19T09:17:42;;;;;HumanObservation;;47332;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;26/09/1956;;;;;;;Australia;;;;0;0;-360.833;175.05.00;2000;0,124305556;POINT (175.05000 -36.08330);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47336;2019-12-19T09:17:43;;;;;HumanObservation;;47336;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;26/10/1956;;;;;;;Australia;;;;0;0;-359.167;174.883;2000;0,124305556;POINT (174.88300 -35.91670);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
22322;2019-12-19T09:45:25;;;;;HumanObservation;;22322;;;;;;1;individual;Female;Mature;present;;;;;;;;;;01/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
50845;2019-12-19T09:18:12;;;;;HumanObservation;;50845;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;01/05/1957;;;;;;;Australia;;;;0;0;-36;175;10000;0,622222222;POINT (175.00000 -36.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
50846;2019-12-19T09:18:12;;;;;HumanObservation;;50846;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;03/06/1957;;;;;;;Australia;;;;0;0;-36;175;10000;0,622222222;POINT (175.00000 -36.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
69093;2019-12-19T09:21:22;;;;;HumanObservation;;69093;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;25/01/1964;;;;;;;Australia;;;;0;0;-42;173;50000;0,311111111;POINT (173.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137091;;Balaenoptera physalus;Animalia;;;;;;;;species;;Fin
21310;2019-12-19T09:45:15;;;;;HumanObservation;;21310;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;04/05/1948;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
21311;2019-12-19T09:45:15;;;;;HumanObservation;;21311;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;09/05/1948;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22318;2019-12-19T09:45:24;;;;;HumanObservation;;22318;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;23/05/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22319;2019-12-19T09:45:24;;;;;HumanObservation;;22319;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;23/05/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22320;2019-12-19T09:45:25;;;;;HumanObservation;;22320;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;23/05/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22321;2019-12-19T09:45:25;;;;;HumanObservation;;22321;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;29/05/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22323;2019-12-19T09:45:25;;;;;HumanObservation;;22323;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;01/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22327;2019-12-19T09:45:25;;;;;HumanObservation;;22327;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;11/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22324;2019-12-19T09:45:25;;;;;HumanObservation;;22324;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;05/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22325;2019-12-19T09:45:25;;;;;HumanObservation;;22325;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;05/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22326;2019-12-19T09:45:25;;;;;HumanObservation;;22326;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;11/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22328;2019-12-19T09:45:25;;;;;HumanObservation;;22328;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;11/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22329;2019-12-19T09:45:26;;;;;HumanObservation;;22329;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;12/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22330;2019-12-19T09:45:26;;;;;HumanObservation;;22330;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;13/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22331;2019-12-19T09:45:26;;;;;HumanObservation;;22331;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;13/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22332;2019-12-19T09:45:26;;;;;HumanObservation;;22332;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;15/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22333;2019-12-19T09:45:26;;;;;HumanObservation;;22333;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;15/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22334;2019-12-19T09:45:26;;;;;HumanObservation;;22334;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;16/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22335;2019-12-19T09:45:26;;;;;HumanObservation;;22335;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;16/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22336;2019-12-19T09:45:26;;;;;HumanObservation;;22336;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;16/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22337;2019-12-19T09:45:26;;;;;HumanObservation;;22337;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;16/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22338;2019-12-19T09:45:27;;;;;HumanObservation;;22338;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;16/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22339;2019-12-19T09:45:27;;;;;HumanObservation;;22339;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;18/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22343;2019-12-19T09:45:27;;;;;HumanObservation;;22343;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;19/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22340;2019-12-19T09:45:27;;;;;HumanObservation;;22340;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;18/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22341;2019-12-19T09:45:27;;;;;HumanObservation;;22341;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;18/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22342;2019-12-19T09:45:27;;;;;HumanObservation;;22342;;;;;;1;individual;Female;Mature;present;;;;;;;;;;19/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
22344;2019-12-19T09:45:27;;;;;HumanObservation;;22344;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;22/06/1949;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36125;2019-12-19T09:16:13;;;;;HumanObservation;;36125;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;29/06/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
