id;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;dynamicProperties;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;sex;lifeStage;preparations;otherCatalogNumbers;associatedReferences;eventDate;year;month;day;fieldNumber;waterBody;country;stateProvince;county;locality;verbatimDepth;minimumDepthInMeters;maximumDepthInMeters;verbatimCoordinates;decimalLatitude;decimalLongitude;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificNameID;scientificName;scientificNameAuthorship
43;;SAMC;ZM;HumanObservation;;SAMC-ZM-001336;"Skull and mandibles; Total length 2.62m; Shot from  RSA";;Rand RW;;F;;;SAM-ZM038979;;1969-02-06T12:00:00Z;1969;2;6;UGGI 29;Atlantic/Antarctic;Antarctica;;;5 miles of east of Otterbukta;;;;;-701.166.992.188;-2.083.329.916;;Rand RW;;;urn:lsid:marinespecies.org:taxname:195932;Leptonychotes weddellii;
44;;SAMC;ZM;HumanObservation;;SAMC-ZM-000199;"Skull and scapulae; Total length 166.2cm; Collected at sea";;Best PB;;M;;;SAM-ZM040032;;1984-02-26T12:00:00Z;1984;2;26;PBB84/10;Atlantic;South Africa;;;;;;;;-322.522.010.803;182.024.993.896;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
45;;SAMC;ZM;HumanObservation;;SAMC-ZM-000304;"Skull, no mandibles; Pick up on beach";;;;;;;SAM-ZM036841;;;;;;;Atlantic;Nambia;;;Sandwich Harbour, Walvis Bay;;;;;-233.666.992.188;14.483.300.209;;;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
46;;SAMC;ZM;HumanObservation;;SAMC-ZM-000177;"Skull; 4' 5  long; Died during live cupture attempt";;Best PB;;M;;;SAM-ZM036019;;1969-12-21T12:00:00Z;1969;12;21;69/18;Atlantic;South Africa;;;Hout Bay;;;;;-340.499.992.371;183.666.992.188;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
47;;SAMC;ZM;HumanObservation;;SAMC-ZM-000536;"Skeleton and casts of head, tail, dorsal fin, flipper; 17' 4; Stranded alive 23/04/1965";;;;M;;;SAM-ZM035111;;;;;;65/2;Atlantic;South Africa;;;Hout Bay;;;;;-340.499.992.371;183.666.992.188;;;;;urn:lsid:marinespecies.org:taxname:231429;Mesoplodon layardii;
48;;SAMC;ZM;HumanObservation;;SAMC-ZM-000911;"Skull; 2.36m long; Stranded 10 or 11/08/1974";;Best PB;;F;;;SAM-ZM036980;;;;;;74/8;Atlantic;South Africa;;;Die Plaat, Walker Bay, Cape Peninsula, 7miles east of Hermanus;;;;;-344.667.015.076;193.332.996.368;;Best PB;;;urn:lsid:marinespecies.org:taxname:137113;Kogia breviceps;
49;;SAMC;ZM;HumanObservation;;SAMC-ZM-000729;Skull;;Rand RW;;F;;;SAM-ZM034946;;1948-12-13T12:00:00Z;1948;12;13;UGGI 3044;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
50;;SAMC;ZM;HumanObservation;;SAMC-ZM-000662;"Complete skull and mandible; Adult; cupboard No. 1";;Rand RW;;F;;;SAM-ZM034665;;1950-11-20T12:00:00Z;1950;11;20;No. 3099;Atlantic;South Africa;;;Seal Island, False Bay;;;;;-341.166.992.188;185.666.999.817;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
51;;SAMC;ZM;HumanObservation;;SAMC-ZM-000745;Skull;;Rand RW;;F;;;SAM-ZM035008;;1948-02-18T12:00:00Z;1948;2;18;UGGI 2842;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
52;;SAMC;ZM;HumanObservation;;SAMC-ZM-000749;"Skull; Given as exchange to Adelaile Museum 11/1993; Re: Michille Van de Merwe";;Rand RW;;M;;;SAM-ZM035012;;1948-08-02T12:00:00Z;1948;8;2;UGGI 2910;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
53;;SAMC;ZM;HumanObservation;;SAMC-ZM-000702;"Skull and mandible; 2 year old; cupboard No. 2";;Rand RW;;M;;;SAM-ZM034807;;1947-12-12T12:00:00Z;1947;12;12;No. 2683;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
54;;SAMC;ZM;HumanObservation;;SAMC-ZM-000428;"Partial skeleton and skull remains; Two whales washed ashore; Skelton possibly mixed with ZM (88/29B)";;Best PB;;;;;SAM-ZM040937;;1988-03-10T12:00:00Z;1988;3;10;PBB 88/29A;Atlantic;;;;Cave Gulch, Tristan da Cuncha;;;;;-37.25;12.483.300.209;;Best PB;;;urn:lsid:marinespecies.org:taxname:137034;Mesoplodon sp.;
55;;SAMC;ZM;HumanObservation;;SAMC-ZM-000758;"Skull; Premature pup";;Rand RW;;M;;;SAM-ZM035021;;1948-10-15T12:00:00Z;1948;10;15;UGGI 2954;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
56;;SAMC;ZM;HumanObservation;;SAMC-ZM-000644;"Skin only; Total length 166.5cm, curvilinear length 180.5cm, foreflipper length (R ) 56cm, axillary girth 115.5cm; Adult male but not yet socially mature, tagged as pup 2 January 1973, skin with brass tally # 2425";;Bonner WN;;M;;;SAM-ZM039767;;1980-12-16T12:00:00Z;1980;12;;SA/80/2;Atlantic;U.K;;;Bird Island, South Georgia;;;;;-54.0;-380.332.984.924;;Bonner WN;;;urn:lsid:marinespecies.org:taxname:231404;Arctocephalus gazella;
57;;SAMC;ZM;HumanObservation;;SAMC-ZM-000679;"Skull and mandible; Adult; cupboard No. 1";;Rand RW;;F;;;SAM-ZM034737;;1948-02-03T12:00:00Z;1948;2;3;No. 2809;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
58;;SAMC;ZM;HumanObservation;;SAMC-ZM-001141;"Skull and mandible; Pup; cupboard No. 1";;;;M;;;SAM-ZM034687;;1948-03-10T12:00:00Z;1948;3;10;U.G.G.I No. 2859;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
59;;SAMC;ZM;HumanObservation;;SAMC-ZM-000775;"Skull; Yearling";;Rand RW;;F;;;SAM-ZM035038;;1948-01-24T12:00:00Z;1948;1;24;UGGI 2794;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
60;;SAMC;ZM;HumanObservation;;SAMC-ZM-000595;"Skull, mandible and nails; Cupboard No. 1";;Rand RW;;M;;;SAM-ZM034756;;1948-02-11T12:00:00Z;1948;2;11;U.G.G.I. No. 2822;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
61;;SAMC;ZM;HumanObservation;;SAMC-ZM-000565;Skull;;Rand RW;;F;;;SAM-ZM034919;;1948-11-29T12:00:00Z;1948;11;29;UGGI 3035;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
62;;SAMC;ZM;HumanObservation;;SAMC-ZM-000386;"skull; Total length 223cm; Collected at sea";;Best PB;;M;;;SAM-ZM039871;;1983-11-29T12:00:00Z;1983;11;29;PBB 83/39;Atlantic;South Africa;;;;;;;;-342.188.987.732;183.022.003.174;;Best PB;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
63;;SAMC;ZM;HumanObservation;;SAMC-ZM-000889;"Skull and mandible, ribs, vertebrae, teeth and scapula; Catalogued 1959; Cupboard No. 106";;;;;;;SAM-ZM034018;;;;;;0/223;Atlantic;South Africa;;;Milnerton (15/12/1930);;;;;-338.499.984.741;184.666.996.002;;;;;urn:lsid:marinespecies.org:taxname:137113;Kogia breviceps;
64;;SAMC;ZM;HumanObservation;;SAMC-ZM-000498;"Skull; Total length 3.52m; Stranded";;Best PB;;M;;;SAM-ZM039835;;1981-11-30T12:00:00Z;1981;11;30;81/18;Atlantic;South Africa;;;Sunset Beach, Sea Point;;;;;-339.166.984.558;183.833.007.812;;Best PB;;;urn:lsid:marinespecies.org:taxname:137122;Mesoplodon densirostris;
65;;SAMC;ZM;HumanObservation;;SAMC-ZM-000193;"Skull; Stranding; Found dead and fairly fresh by graham Avery (SAM) on beach walk; total length 89.4cm";;Best PB;;F;;;SAM-ZM039839;;1982-01-23T12:00:00Z;1982;1;23;82/3;Atlantic;South Africa;;;6.1km north of Yzerfontien;;;;;-332.667.007.446;181.166.992.188;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
66;;SAMC;ZM;HumanObservation;;SAMC-ZM-000651;"Skull, mandible and baculum; Adult; cupboard No. 1";;Rand RW;;M;;;SAM-ZM034640;;1947-11-20T12:00:00Z;1947;11;20;No. 2168;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
67;;SAMC;ZM;HumanObservation;;SAMC-ZM-001274;"Skull and mandible; Cupboard No. 3";;Rand RW;;F;;;SAM-ZM034884;;;;;;No. 3078;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
68;;SAMC;ZM;HumanObservation;;SAMC-ZM-000761;"Skull; ~ 24 hours old";;Rand RW;;M;;;SAM-ZM035024;;1948-10-05T12:00:00Z;1948;10;5;UGGI 2938;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
69;;SAMC;ZM;HumanObservation;;SAMC-ZM-000207;"Skull; Total length ~1.35m; Picked up on beach; Found dead on beach walk";;Best PB;;;;;SAM-ZM040600;;1987-05-23T12:00:00Z;1987;5;23;PBB 87/21;Atlantic;South Africa;;;13.8km north of Yzerfontien;;;;;-332.167.015.076;180.832.996.368;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
70;;SAMC;ZM;HumanObservation;;SAMC-ZM-000335;"Skull; Total length 2.432m; Found dead on the beach";;Best PB;;M;;;SAM-ZM040609;;1986-11-10T12:00:00Z;1986;11;10;PBB 86/39;Atlantic;South Africa;;;Buffeljatgs, near Elim, Bredasdorp District;;;;;-347.167.015.076;195.832.996.368;;Best PB;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
71;;SAMC;ZM;HumanObservation;;SAMC-ZM-000077;"Skull; 18' 3  long; Animal stranding - old stranding";;Best PB;;M;;;SAM-ZM035794;;1969-11-06T12:00:00Z;1969;11;6;69/14;Atlantic;South Africa;;;3 miles west of Arniston, Cape Peninsula;;;;;-347.000.007.629;202.332.992.554;;Best PB;;;urn:lsid:marinespecies.org:taxname:148727;Globicephala melaena;
72;;SAMC;ZM;HumanObservation;;SAMC-ZM-000673;"Skull and mandible; Cupboard No. 1";;Rand RW;;F;;;SAM-ZM034731;;;;;;No. 3028;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
73;;SAMC;ZM;HumanObservation;;SAMC-ZM-000937;"Skull and cervicals; Pregnant";;Best PB;;F;;;SAM-ZM039947;;1978-08-16T12:00:00Z;1978;8;;PBB 78/25;Atlantic;Nambia;;;18km north of Walvis Bay;;;;;-22.75;144.666.996.002;;Best PB;;;urn:lsid:marinespecies.org:taxname:137113;Kogia breviceps;
74;;SAMC;ZM;HumanObservation;;SAMC-ZM-000563;Skull;;Rand RW;;F;;;SAM-ZM034917;;1948-11-17T12:00:00Z;1948;11;17;UGGI 2997;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
75;;SAMC;ZM;HumanObservation;;SAMC-ZM-000236;"Skull; Total length 1.73m; Entangled in hand line from R.V. Sardinops; Total length 1.73m";;Best PB;;M;;;SAM-ZM041245;;1993-05-25T12:00:00Z;1993;5;25;PBB 93/08;Atlantic;South Africa;;;;;;;;-300.519.008.636;170.442.008.972;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
76;;SAMC;ZM;HumanObservation;;SAMC-ZM-000394;"Skull; Found dead on beach; Found dead on beach 05/03/1983, brought to Arniston by inspector Fourie";;Best PB;;M;;;SAM-ZM039879;;1983-03-07T12:00:00Z;1983;3;7;83/10;Indian;South Africa;;;Koppie Alleen, near Arniston;;;;;-344.500.007.629;205.167.007.446;;Best PB;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
77;;SAMC;ZM;HumanObservation;;SAMC-ZM-000919;"Skull, no mandibles; Skull picked up on beach";;Best PB;;;;;SAM-ZM039215;;1978-08-16T12:00:00Z;1978;8;;78/29;Atlantic;Nambia;;;Pelican Point, Walvis Bay;;;;;-228.666.992.188;144.499.998.093;;Best PB;;;urn:lsid:marinespecies.org:taxname:137113;Kogia breviceps;
78;;SAMC;ZM;HumanObservation;;SAMC-ZM-000175;"Skull; 5' 11/2  long; Captured alive (04/02/1969), died in captivity at Tygerberg Zoo (18/06/1969)";;Best PB;;M;;;SAM-ZM035700;;;;;;69/6;Atlantic;South Africa;;;Hout Bay;;;;;-340.499.992.371;183.666.992.188;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
79;;SAMC;ZM;HumanObservation;;SAMC-ZM-000776;"Os-penis; Juvenile";;Rand RW;;M;;;SAM-ZM035603;;1946-11-06T12:00:00Z;1946;11;6;No. 975;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
80;;SAMC;ZM;HumanObservation;;SAMC-ZM-000341;"Skull; Total length 2.10m; Harpooned from R. V. Sardinops";;Best PB;;M;;;SAM-ZM040620;;1985-04-21T12:00:00Z;1985;4;21;PBB 85/12;Indian;South Africa;;;;;;;;-340.005.989.075;251.341.991.425;;Best PB;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
81;;SAMC;ZM;HumanObservation;;SAMC-ZM-000756;"Skull, baculum and humerus; Foetus of 997";;Rand RW;;M;;;SAM-ZM035019;;1946-11-12T12:00:00Z;1946;11;12;UGGI 998;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
82;;SAMC;ZM;HumanObservation;;SAMC-ZM-000923;"Skull, one mandible; Total length ~2.55m; Stranded";;Best PB;;F;;;SAM-ZM039834;;1980-10-15T12:00:00Z;1980;10;15;80/26;Atlantic;South Africa;;;Die Plaat, Walker Bay;;;;;-34.5;193.666.992.188;;Best PB;;;urn:lsid:marinespecies.org:taxname:137113;Kogia breviceps;
83;;SAMC;ZM;HumanObservation;;SAMC-ZM-000797;"Skull and skeleton; Juvenile";;Museum Staff;;M;;;SAM-ZM036262;;1971-03-29T12:00:00Z;1971;3;29;;Atlantic;South Africa;;;Strandfontein Beach, False Bay;;;;;-340.833.015.442;185.499.992.371;;Museum Staff;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
84;;SAMC;ZM;HumanObservation;;SAMC-ZM-000211;"Skull; Total length 1.61m; Harpooned from R.V. Sardinops";;Best PB;;F;;;SAM-ZM040617;;1986-05-08T12:00:00Z;1986;5;8;PBB 86/20;Atlantic;Nambia;;;;;;;;-270.181.007.385;151.177.997.589;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
85;;SAMC;ZM;HumanObservation;;SAMC-ZM-000742;Skull;;Rand RW;;F;;;SAM-ZM034959;;1948-11-23T12:00:00Z;1948;11;23;UGGI 3014;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
86;;SAMC;ZM;HumanObservation;;SAMC-ZM-000582;"Skull and mandible; Adult; cupboard No. 1";;Rand RW;;M;;;SAM-ZM034743;;1954-10-20T12:00:00Z;1954;10;20;No. 4252;Atlantic;South Africa;;;Robben Island;;;;;-337.999.992.371;183.666.992.188;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
87;;SAMC;ZM;HumanObservation;;SAMC-ZM-000627;"Skull and mandible; Senile; cupboard No. 2";;Rand RW;;M;;;SAM-ZM034775;;1947-09-05T12:00:00Z;1947;9;5;No. 1728;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
88;;SAMC;ZM;HumanObservation;;SAMC-ZM-001397;"Skull; Pup";;Rand RW;;F;;;SAM-ZM034969;;1953-06-06T12:00:00Z;1953;6;6;RWR 2;Pacific;;;;Lukanin Bay, St Paul Island, Alaska;;;;;571.333.007.812;-170.216.995.239;;Rand RW;;;urn:lsid:marinespecies.org:taxname:137084;Phoca vitulina;
89;;SAMC;ZM;HumanObservation;;SAMC-ZM-000189;"Skull and mandibles; Total length 1.87m; Found dead at sea";;Best PB;;F;;;SAM-ZM039561;;1979-08-18T12:00:00Z;1979;8;18;79/17;Atlantic;Nambia;;;;;;;;-196.667.003.632;124.222.002.029;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
90;;SAMC;ZM;HumanObservation;;SAMC-ZM-000762;Skull;;Rand RW;;F;;;SAM-ZM035025;;1947-11-17T12:00:00Z;1947;11;17;UGGI 2077;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
91;;SAMC;ZM;HumanObservation;;SAMC-ZM-000238;"Skull; Total length 183cm; Found dead on the beach, possibly fisheries mortality; Total length 183cm";;Best PB;;F;;;SAM-ZM041387;;1995-04-22T12:00:00Z;1995;4;22;PBB 95/04;Atlantic;South Africa;;;Swartrit Jacobs Bay, Saldhnha;;;;;-335.167.007.446;183.166.999.817;;Best PB;;;urn:lsid:marinespecies.org:taxname:231434;Lagenorhynchus obscurus;
