id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WC:3551;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3551;3551;;2;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.250.000.000;9.850.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3552;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3552;3552;;74;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3553;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3553;3553;;114;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3554;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3554;3554;;37;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.250.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3555;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3555;3555;;15;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.350.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3556;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3556;3556;;51;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.450.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3557;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3557;3557;;20;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.550.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3558;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3558;3558;;6;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.650.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3559;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3559;3559;;8;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;8.750.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:356;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:356;356;;20;;;present;1933-01-01 00:00:00+00;1933;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;7.950.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
