# Mito_number, Area of Mitochondria
3.320000000000000000e+02,2.039945774871202593e+05
3.330000000000000000e+02,2.218461421985756533e+04
3.340000000000000000e+02,1.549726762889034035e+04
3.350000000000000000e+02,1.072318336672303849e+05
3.360000000000000000e+02,3.801194366798585543e+04
3.370000000000000000e+02,1.075023573112136364e+04
3.380000000000000000e+02,2.471332646696359370e+04
3.390000000000000000e+02,3.419224547334718955e+04
3.400000000000000000e+02,1.462844771673578180e+04
3.410000000000000000e+02,2.959860858755077788e+04
3.420000000000000000e+02,1.688223519048356320e+04
3.430000000000000000e+02,2.696731436467944150e+04
3.440000000000000000e+02,9.413365808617276343e+03
3.460000000000000000e+02,6.699014584267572445e+02
3.470000000000000000e+02,8.504952846958556620e+03
3.480000000000000000e+02,2.766688845037786086e+04
3.490000000000000000e+02,6.369782037325434794e+04
3.500000000000000000e+02,9.013207172867405461e+03
3.510000000000000000e+02,4.354499080147720088e+04
3.520000000000000000e+02,5.758559275732465176e+04
3.530000000000000000e+02,6.832336822388184373e+04
3.540000000000000000e+02,3.056905996358064294e+04
3.550000000000000000e+02,5.359058547794932565e+03
3.560000000000000000e+02,5.291899988933200802e+04
3.570000000000000000e+02,2.172427643170978990e+04
3.580000000000000000e+02,3.251061699453344409e+04
3.590000000000000000e+02,2.794918909595743025e+04
3.610000000000000000e+02,2.467412677377687658e+02
3.620000000000000000e+02,3.113168492679861811e+04
3.640000000000000000e+02,2.434755498897548932e+03
3.650000000000000000e+02,3.602073866166014341e+04
3.660000000000000000e+02,1.210996766514277988e+05
3.680000000000000000e+02,4.289689034147425446e+03
3.690000000000000000e+02,2.001115995150210074e+04
3.720000000000000000e+02,2.771313657318439255e+03
3.730000000000000000e+02,4.089805766093041166e+04
3.740000000000000000e+02,1.585858472080731881e+05
3.760000000000000000e+02,1.467147417132483042e+03
3.770000000000000000e+02,2.599943492926644103e+04
3.800000000000000000e+02,2.337939222897698983e+03
3.810000000000000000e+02,2.738475404361183246e+04
3.820000000000000000e+02,4.123818136276195582e+04
3.830000000000000000e+02,8.551596487397320743e+04
3.840000000000000000e+02,3.231442768071351020e+04
3.850000000000000000e+02,3.240510431427927688e+04
3.860000000000000000e+02,2.656955714158791670e+04
3.870000000000000000e+02,9.901876562131645915e+04
3.880000000000000000e+02,7.018464837352122413e+04
3.890000000000000000e+02,2.861655319885389326e+04
3.900000000000000000e+02,1.491655905769832498e+04
3.910000000000000000e+02,3.485451465707996249e+04
3.920000000000000000e+02,6.741844849195276038e+04
3.930000000000000000e+02,5.034051086994543584e+04
3.940000000000000000e+02,1.887164446131743316e+05
3.950000000000000000e+02,3.089321030326250184e+04
3.970000000000000000e+02,3.302468468931402185e+03
3.980000000000000000e+02,1.473554415227183927e+04
3.990000000000000000e+02,1.035232997022857598e+05
4.000000000000000000e+02,2.928972562153990657e+04
4.010000000000000000e+02,3.371845187733251805e+04
4.030000000000000000e+02,8.634739934011042351e+03
4.040000000000000000e+02,3.606367041224598506e+04
4.050000000000000000e+02,3.880569879188072809e+04
4.060000000000000000e+02,3.842455931098895235e+04
4.070000000000000000e+02,4.866668224640486005e+04
4.090000000000000000e+02,8.584891584855415658e+02
4.110000000000000000e+02,2.753994717362535084e+03
4.120000000000000000e+02,2.725614112762780860e+04
4.140000000000000000e+02,2.847173846927009890e+03
4.160000000000000000e+02,1.034091443088191409e+04
4.170000000000000000e+02,4.720601085828537907e+04
4.180000000000000000e+02,3.949946017773043422e+04
4.190000000000000000e+02,4.148019340459219529e+04
4.210000000000000000e+02,1.107673923985551937e+03
4.230000000000000000e+02,5.385680849257890259e+03
4.250000000000000000e+02,4.948769782046754699e+03
4.280000000000000000e+02,1.250807636226854993e+04
4.300000000000000000e+02,1.732367663171577078e+03
4.310000000000000000e+02,7.594664964517923181e+03
4.320000000000000000e+02,2.641418399195342499e+04
4.340000000000000000e+02,3.003965580853125175e+03
4.350000000000000000e+02,5.450469940970562311e+04
4.360000000000000000e+02,4.235536639372312493e+04
4.370000000000000000e+02,4.946615419438490062e+04
4.380000000000000000e+02,3.099577785573635629e+04
4.390000000000000000e+02,3.244480701529271755e+04
4.400000000000000000e+02,2.932504208683642719e+04
4.410000000000000000e+02,3.036952787352196174e+04
4.430000000000000000e+02,8.148527665784287819e+03
4.440000000000000000e+02,2.477361822048882095e+04
4.450000000000000000e+02,1.560381493038804001e+04
4.470000000000000000e+02,3.371637517995941380e+03
4.490000000000000000e+02,1.787317228893401534e+03
4.520000000000000000e+02,3.087045970930468002e+02
4.530000000000000000e+02,1.697811489459704899e+04
4.540000000000000000e+02,2.374187184967115900e+04
4.580000000000000000e+02,3.326461581331883281e+03
4.600000000000000000e+02,7.151551222921830231e+02
4.610000000000000000e+02,3.660684384336448420e+04
4.620000000000000000e+02,2.193306401747126802e+04
4.630000000000000000e+02,1.576534882139420552e+04
4.640000000000000000e+02,2.345336788328598050e+04
4.650000000000000000e+02,2.711875391647274955e+04
4.670000000000000000e+02,6.928441736454105921e+02
4.700000000000000000e+02,4.635873845934677774e+03
4.720000000000000000e+02,1.344844355067280958e+03
4.730000000000000000e+02,1.949348313278291243e+04
4.750000000000000000e+02,9.505939897793909040e+03
4.760000000000000000e+02,1.855107233133554109e+04
4.770000000000000000e+02,1.576056589640407947e+04
4.790000000000000000e+02,7.455137663428280348e+02
4.820000000000000000e+02,2.323095938830908381e+03
4.830000000000000000e+02,6.914586733380170699e+03
4.840000000000000000e+02,1.486904432880940294e+04
4.860000000000000000e+02,2.958469028218848962e+02
4.900000000000000000e+02,4.129952740644093865e+03
4.920000000000000000e+02,1.801312042224382594e+03
4.940000000000000000e+02,1.272672192950556564e+03
