# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
3.189287423150994893e+00,0.000000000000000000e+00
6.378574846301989787e+00,6.125815069395940071e+01
9.567862269452984236e+00,2.450326027758376028e+02
1.275714969260397957e+01,3.062907534697969822e+02
1.594643711575497491e+01,4.900652055516752057e+02
1.913572453890596847e+01,7.963559590214722448e+02
2.232501196205696559e+01,1.408937465961066209e+03
2.551429938520795915e+01,1.899002671512741472e+03
2.870358680835895271e+01,2.450326027758375858e+03
3.189287423150994982e+01,3.185423836085888979e+03
3.508216165466094338e+01,3.675489041637564242e+03
3.827144907781193695e+01,4.104296096495279926e+03
4.146073650096293051e+01,4.961910206210711294e+03
4.465002392411393117e+01,5.880782466620102241e+03
4.783931134726492473e+01,6.615880274947615362e+03
5.102859877041591830e+01,7.289719932581168905e+03
5.421788619356691186e+01,8.453624795766398165e+03
5.740717361671790542e+01,9.372497056175789112e+03
6.059646103986890608e+01,1.016885301519726090e+04
6.378574846301989965e+01,1.102646712491269136e+04
6.697503588617088610e+01,1.170030678254624581e+04
7.016432330932188677e+01,1.280295349503751459e+04
7.335361073247288743e+01,1.390560020752878336e+04
7.654289815562387389e+01,1.549831212557172876e+04
7.973218557877487456e+01,1.635592623528715922e+04
8.292147300192586101e+01,1.702976589292071367e+04
8.611076042507686168e+01,1.782612185194218546e+04
8.930004784822786235e+01,1.880625226304553507e+04
9.248933527137884880e+01,1.978638267414888469e+04
9.567862269452984947e+01,2.088902938664015528e+04
9.886791011768083592e+01,2.156286904427370973e+04
1.020571975408318366e+02,2.205293424982538272e+04
1.052464849639828373e+02,2.254299945537705935e+04
1.084357723871338237e+02,2.346187171578645211e+04
1.116250598102848244e+02,2.425822767480792390e+04
1.148143472334358108e+02,2.505458363382939569e+04
1.180036346565868115e+02,2.578968144215690700e+04
1.211929220797378122e+02,2.609597219562670580e+04
1.243822095028887986e+02,2.683107000395421710e+04
1.275714969260397993e+02,2.738239336019985058e+04
1.307607843491908000e+02,2.781120041505756672e+04
1.339500717723417722e+02,2.824000746991528285e+04
1.371393591954927729e+02,2.873007267546695948e+04
1.403286466186437735e+02,2.952642863448843127e+04
1.435179340417947742e+02,3.013901014142802524e+04
1.467072214649457749e+02,3.069033349767365871e+04
1.498965088880967471e+02,3.105788240183741436e+04
1.530857963112477478e+02,3.167046390877700833e+04
1.562750837343987484e+02,3.234430356641056278e+04
