# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.290957649685337927e+01,1.636026237054215699e+03
4.581915299370675854e+01,6.391916461049028840e+03
6.872872949056014136e+01,1.544713144753515371e+04
9.163830598741351707e+01,2.488281765194086256e+04
1.145478824842668928e+02,3.336732581154761283e+04
1.374574589811202827e+02,4.143331563144281245e+04
1.603670354779736442e+02,4.949930545133801206e+04
1.832766119748270341e+02,5.790771936736084172e+04
2.061861884716804241e+02,6.624003903979975439e+04
2.290957649685337856e+02,7.426798173790299916e+04
2.520053414653871755e+02,8.206764170525450027e+04
2.749149179622405654e+02,8.899221787139093794e+04
2.978244944590939554e+02,9.504171023631234129e+04
3.207340709559472884e+02,1.000639303128508764e+05
3.436436474528006784e+02,1.054666216073089745e+05
3.665532239496540683e+02,1.104507945620555402e+05
3.894628004465074582e+02,1.156252031257618946e+05
4.123723769433608481e+02,1.204571875933406263e+05
4.352819534402141812e+02,1.250608893301676144e+05
4.581915299370675712e+02,1.298167795541624218e+05
4.811011064339209611e+02,1.342302456820296065e+05
5.040106829307743510e+02,1.388339474188565800e+05
5.269202594276276841e+02,1.436659318864353118e+05
5.498298359244811309e+02,1.481554922578864207e+05
5.727394124213344639e+02,1.514655918537868129e+05
5.956489889181879107e+02,1.547756914496872050e+05
6.185585654150412438e+02,1.571346130007886386e+05
6.414681419118945769e+02,1.597979115262257110e+05
6.643777184087480236e+02,1.626133985388306610e+05
6.872872949056013567e+02,1.660756866218988725e+05
7.101968714024548035e+02,1.694238333395912196e+05
7.331064478993081366e+02,1.728100271790755214e+05
7.560160243961614697e+02,1.756255141916804714e+05
7.789256008930149164e+02,1.774517760376944789e+05
8.018351773898682495e+02,1.790117080311647733e+05
8.247447538867216963e+02,1.801911688067154901e+05
8.476543303835750294e+02,1.811803939733064035e+05
8.705639068804283625e+02,1.825120432360249397e+05
8.934734833772818092e+02,1.838056453769515501e+05
9.163830598741351423e+02,1.855938601011736027e+05
9.392926363709885891e+02,1.865830852677645162e+05
9.622022128678419222e+02,1.876864517997312942e+05
9.851117893646952552e+02,1.881430172612348106e+05
1.008021365861548702e+03,1.883332528701946139e+05
1.030930942358402035e+03,1.883332528701946139e+05
1.053840518855255368e+03,1.883332528701946139e+05
1.076750095352108929e+03,1.883332528701946139e+05
1.099659671848962262e+03,1.883332528701946139e+05
1.122569248345815595e+03,1.883332528701946139e+05
