# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
5.121905906885019455e+00,4.398483919341131099e+01
1.024381181377003891e+01,3.078938743538791982e+02
1.536571772065505925e+01,6.333816843851228668e+02
2.048762362754007782e+01,1.108417947673965045e+03
2.560952953442509639e+01,1.979317763703509172e+03
3.073143544131011851e+01,2.876608483249100118e+03
3.585334134819513707e+01,3.809087074149419550e+03
4.097524725508015564e+01,4.926301989662067172e+03
4.609715316196517421e+01,6.298628972496499955e+03
5.121905906885019277e+01,7.732534730201708953e+03
5.634096497573521134e+01,9.333582876841881443e+03
6.146287088262023701e+01,1.093463102348205211e+04
6.658477678950525558e+01,1.273800943041191567e+04
7.170668269639027415e+01,1.469973325843806015e+04
7.682858860327529271e+01,1.658228437591606416e+04
8.195049451016031128e+01,1.857039910745825546e+04
8.707240041704532985e+01,2.055851383900044675e+04
9.219430632393034841e+01,2.264339521676814547e+04
9.731621223081536698e+01,2.478985536940661768e+04
1.024381181377003855e+02,2.676037616527144201e+04
1.075600240445854041e+02,2.870450605762022315e+04
1.126819299514704227e+02,3.069262078916241444e+04
1.178038358583554412e+02,3.241682648554413754e+04
1.229257417652404740e+02,3.379795043621725199e+04
1.280476476721254926e+02,3.523185619392246008e+04
1.331695535790105112e+02,3.641064988430588710e+04
1.382914594858955297e+02,3.758944357468930684e+04
1.434133653927805483e+02,3.840756158368675824e+04
1.485352712996655669e+02,3.937522804594181071e+04
1.536571772065505854e+02,4.001740669816561422e+04
1.587790831134356040e+02,4.065078838255073788e+04
1.639009890203206226e+02,4.124018522774244775e+04
1.690228949272056411e+02,4.174161239454733732e+04
1.741448008340906597e+02,4.216386685080408643e+04
1.792667067409756783e+02,4.246296375731928129e+04
1.843886126478606968e+02,4.272687279247974948e+04
1.895105185547457154e+02,4.288521821357603039e+04
1.946324244616307340e+02,4.303476666683363146e+04
1.997543303685157525e+02,4.324589389496200602e+04
2.048762362754007711e+02,4.333386357334882632e+04
2.099981421822857897e+02,4.344822415525169345e+04
2.151200480891708082e+02,4.350100596228378708e+04
2.202419539960558268e+02,4.353619383363852103e+04
2.253638599029408454e+02,4.354499080147720088e+04
2.304857658098258639e+02,4.354499080147720088e+04
2.356076717167108825e+02,4.354499080147720088e+04
2.407295776235959011e+02,4.354499080147720088e+04
2.458514835304809480e+02,4.354499080147720088e+04
2.509733894373659382e+02,4.354499080147720088e+04
