# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
4.290548725796683449e+00,4.131614646328534945e+01
8.581097451593366898e+00,1.836273176146015658e+02
1.287164617739005124e+01,4.774310257979640255e+02
1.716219490318673380e+01,8.446856610271671570e+02
2.145274362898341636e+01,1.377204882109511573e+03
2.574329235478010247e+01,1.978584347297331760e+03
3.003384108057678503e+01,2.781953861861213682e+03
3.432438980637346759e+01,3.663364986411301288e+03
3.861493853217015015e+01,4.618227038007229567e+03
4.290548725796683271e+01,5.577679772543522631e+03
4.719603598376351528e+01,6.826345532322812687e+03
5.148658470956020494e+01,7.928109438010422309e+03
5.577713343535688750e+01,9.158412466028252311e+03
6.006768216115357006e+01,1.055857076283959032e+04
6.435823088695025262e+01,1.175214832733450021e+04
6.864877961274693519e+01,1.310639979474218671e+04
7.293932833854361775e+01,1.412094072456285903e+04
7.722987706434030031e+01,1.510334687380097785e+04
8.152042579013698287e+01,1.591589775424559048e+04
8.581097451593366543e+01,1.664581634176363150e+04
9.010152324173034799e+01,1.745377653926787752e+04
9.439207196752703055e+01,1.815156034620336504e+04
9.868262069332371311e+01,1.867489820140497977e+04
1.029731694191204099e+02,1.920282673954695929e+04
1.072637181449170924e+02,1.965730435064309495e+04
1.115542668707137750e+02,2.007505649821631596e+04
1.158448155965104576e+02,2.047444591402807418e+04
1.201353643223071401e+02,2.083251918337654570e+04
1.244259130481038227e+02,2.111255084273881585e+04
1.287164617739005052e+02,2.131454089211487735e+04
1.330070104996971736e+02,2.149816820972947608e+04
1.372975592254938704e+02,2.175524645438991865e+04
1.415881079512905671e+02,2.195264582082561537e+04
1.458786566770872355e+02,2.218217996784386924e+04
1.501692054028839323e+02,2.226481226077043902e+04
1.544597541286806006e+02,2.235203523663737360e+04
1.587503028544772974e+02,2.242548616368321382e+04
1.630408515802739657e+02,2.251270913955015203e+04
1.673314003060706625e+02,2.256779733483453310e+04
1.716219490318673309e+02,2.262288553011891054e+04
1.759124977576640276e+02,2.266879235952256204e+04
1.802030464834606960e+02,2.268715509128402118e+04
1.844935952092573928e+02,2.271928987186657832e+04
1.887841439350540611e+02,2.272388055480694311e+04
1.930746926608507579e+02,2.272388055480694311e+04
1.973652413866474262e+02,2.272388055480694311e+04
2.016557901124441230e+02,2.272388055480694311e+04
2.059463388382408198e+02,2.272388055480694311e+04
2.102368875640374881e+02,2.272388055480694311e+04
