# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
9.032670299425692662e+00,1.977687023988927422e+02
1.806534059885138532e+01,1.070277683570478302e+03
2.709801089827707798e+01,2.233622991799259125e+03
3.613068119770277065e+01,3.897206782566415768e+03
4.516335149712845976e+01,6.142463227447962709e+03
5.419602179655415597e+01,8.655289093222128940e+03
6.322869209597985218e+01,1.148221819221806618e+04
7.226136239540554129e+01,1.447201563436603283e+04
8.129403269483123040e+01,1.745017962343171166e+04
9.032670299425691951e+01,2.004443966078189260e+04
9.935937329368262283e+01,2.211519430942912368e+04
1.083920435931083119e+02,2.409288133341805224e+04
1.174247138925340010e+02,2.629160396597044746e+04
1.264573841919597044e+02,2.823439063071251076e+04
1.354900544913853935e+02,3.042147981018261635e+04
1.445227247908110826e+02,3.248060100574756143e+04
1.535553950902367717e+02,3.393478264103353285e+04
1.625880653896624608e+02,3.545876499481323845e+04
1.716207356890881499e+02,3.708744842633353255e+04
1.806534059885138390e+02,3.852999660853722162e+04
1.896860762879395566e+02,4.011214622772836447e+04
1.987187465873652457e+02,4.169429584691950731e+04
2.077514168867909348e+02,4.313684402912318910e+04
2.167840871862166239e+02,4.432345624351654988e+04
2.258167574856423130e+02,4.530066630242872634e+04
2.348494277850680021e+02,4.655707923531581037e+04
2.438820980844936912e+02,4.788329288669661764e+04
2.529147683839194087e+02,4.919787308499513892e+04
2.619474386833450694e+02,5.033795148705934844e+04
2.709801089827707870e+02,5.124536082747779437e+04
2.800127792821964476e+02,5.210623635556708905e+04
2.890454495816221652e+02,5.279261008742207196e+04
2.980781198810478827e+02,5.359531835009992938e+04
3.071107901804735434e+02,5.425842517579034029e+04
3.161434604798992609e+02,5.488663164223387867e+04
3.251761307793249216e+02,5.546830429634826578e+04
3.342088010787506391e+02,5.588710860731062712e+04
3.432414713781762998e+02,5.617794493436782795e+04
3.522741416776020174e+02,5.659674924533018930e+04
3.613068119770276780e+02,5.702718700937483663e+04
3.703394822764533956e+02,5.734129024259660946e+04
3.793721525758791131e+02,5.751579203883092123e+04
3.884048228753047738e+02,5.756232585116007249e+04
3.974374931747304913e+02,5.758559275732465176e+04
4.064701634741561520e+02,5.758559275732465176e+04
4.155028337735818695e+02,5.758559275732465176e+04
4.245355040730075302e+02,5.758559275732465176e+04
4.335681743724332478e+02,5.758559275732465176e+04
4.426008446718589653e+02,5.758559275732465176e+04
