# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
3.896927714105920870e+00,4.249012604399650428e+01
7.793855428211841740e+00,1.510760037119875676e+02
1.169078314231776261e+01,3.965745097439673827e+02
1.558771085642368348e+01,7.601011436759374646e+02
1.948463857052960435e+01,1.208608029695900541e+03
2.338156628463552522e+01,1.690162791527860918e+03
2.727849399874144609e+01,2.360562557999805904e+03
3.117542171284736696e+01,3.021520074239751466e+03
3.507234942695328783e+01,3.786342343031688415e+03
3.896927714105920870e+01,4.655029364375616751e+03
4.286620485516512957e+01,5.481226259675549045e+03
4.676313256927105044e+01,6.331028780555478988e+03
5.066006028337697131e+01,7.350791805611394921e+03
5.455698799748289218e+01,8.446092832523305333e+03
5.845391571158881305e+01,9.446971357115222418e+03
6.235084342569473392e+01,1.054227238402713192e+04
6.624777113980064769e+01,1.180753391511502923e+04
7.014469885390657566e+01,1.287450819133094046e+04
7.404162656801250364e+01,1.391787684196685404e+04
7.793855428211841740e+01,1.511232149631475659e+04
8.183548199622433117e+01,1.615569014695067017e+04
8.573240971033025914e+01,1.698660816736660126e+04
8.962933742443618712e+01,1.779392056220253653e+04
9.352626513854210089e+01,1.852569495518247641e+04
9.742319285264801465e+01,1.917721022119042027e+04
1.013201205667539426e+02,1.978623536115437309e+04
1.052170482808598706e+02,2.039053937600232166e+04
1.091139759949657844e+02,2.090986313876228087e+04
1.130109037090716981e+02,2.129227427315824752e+04
1.169078314231776261e+02,2.164635865685821773e+04
1.208047591372835541e+02,2.205237541683418385e+04
1.247016868513894678e+02,2.231675842333016408e+04
1.285986145654953816e+02,2.258114142982614067e+04
1.324955422796012954e+02,2.284552443632212089e+04
1.363924699937072376e+02,2.299187931491810741e+04
1.402893977078131513e+02,2.315239756886209580e+04
1.441863254219190651e+02,2.321377219537008932e+04
1.480832531360250073e+02,2.325626232141408764e+04
1.519801808501309210e+02,2.329875244745808232e+04
1.558771085642368348e+02,2.332707919815407877e+04
1.597740362783427486e+02,2.334124257350208063e+04
1.636709639924486623e+02,2.336012707396607948e+04
1.675678917065546045e+02,2.336484819908207646e+04
1.714648194206605183e+02,2.336956932419807708e+04
1.753617471347664321e+02,2.336956932419807708e+04
1.792586748488723742e+02,2.336956932419807708e+04
1.831556025629782880e+02,2.336956932419807708e+04
1.870525302770842018e+02,2.336956932419807708e+04
1.909494579911901155e+02,2.336956932419807708e+04
