# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
3.298988301974125292e+00,3.994072964357752653e+01
6.597976603948250585e+00,1.198221889307325796e+02
9.896964905922375877e+00,3.095406547377258448e+02
1.319595320789650117e+01,4.443406172847999756e+02
1.649494150987062824e+01,8.287701401042336329e+02
1.979392981184475175e+01,1.183244115690984245e+03
2.309291811381887527e+01,1.642562506592125601e+03
2.639190641579300234e+01,2.071925350260584310e+03
2.969089471776712941e+01,2.636088156476116637e+03
3.298988301974125648e+01,3.185273189075307528e+03
3.628887132171537644e+01,3.809347089756206515e+03
3.958785962368950351e+01,4.578206135395073943e+03
4.288684792566363058e+01,5.242220765719550400e+03
4.618583622763775054e+01,6.255716780425329489e+03
4.948482452961187761e+01,7.189331335843954548e+03
5.278381283158600468e+01,8.063034796797212948e+03
5.608280113356013175e+01,8.916767892928683068e+03
5.938178943553425881e+01,9.815434309909176591e+03
6.268077773750837878e+01,1.065918222362975212e+04
6.597976603948251295e+01,1.160777455266471770e+04
6.927875434145663291e+01,1.256135947290513104e+04
7.257774264343075288e+01,1.350495921073465070e+04
7.587673094540488705e+01,1.436368489807156766e+04
7.917571924737900702e+01,1.524737354143571974e+04
8.247470754935312698e+01,1.623091400890881596e+04
8.577369585132726115e+01,1.703971378419126268e+04
8.907268415330138112e+01,1.802824684286980482e+04
9.237167245527550108e+01,1.894688362467208935e+04
9.567066075724963525e+01,1.977565376477632162e+04
9.896964905922375522e+01,2.058445354005876652e+04
1.022686373611978894e+02,2.131836444725950423e+04
1.055676256631720094e+02,2.204728276325479237e+04
1.088666139651461293e+02,2.258648261344309140e+04
1.121656022671202635e+02,2.306577136916602103e+04
1.154645905690943835e+02,2.341525275354732366e+04
1.187635788710685176e+02,2.380467486757220468e+04
1.220625671730426376e+02,2.404931183663911725e+04
1.253615554750167576e+02,2.426898584967879287e+04
1.286605437769908917e+02,2.443374135945855232e+04
1.319595320789650259e+02,2.454357836597838832e+04
1.352585203809391317e+02,2.462345982526554508e+04
1.385575086829132658e+02,2.466839314611456939e+04
1.418564969848874000e+02,2.468836351093635676e+04
1.451554852868615058e+02,2.471332646696359370e+04
1.484544735888356399e+02,2.471332646696359370e+04
1.517534618908097741e+02,2.471332646696359370e+04
1.550524501927838799e+02,2.471332646696359370e+04
1.583514384947580140e+02,2.471332646696359370e+04
1.616504267967321482e+02,2.471332646696359370e+04
