# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
5.965463856446570290e+00,1.401445617469528884e+02
1.193092771289314058e+01,6.306505278612880829e+02
1.789639156933971265e+01,1.219257687198490203e+03
2.386185542578628116e+01,2.074139513854902816e+03
2.982731928223284967e+01,2.971064709035401393e+03
3.579278313867942529e+01,4.092221203011024500e+03
4.175824699512599381e+01,5.830013768673240520e+03
4.772371085157256232e+01,7.427661772588503482e+03
5.368917470801913083e+01,9.123410969726633994e+03
5.965463856446569935e+01,1.107142037800927937e+04
6.562010242091227497e+01,1.321563217273765804e+04
7.158556627735885058e+01,1.531780059894195256e+04
7.755103013380541199e+01,1.807864846535692413e+04
8.351649399025198761e+01,2.068533731385024657e+04
8.948195784669854902e+01,2.327801170616887612e+04
9.544742170314512464e+01,2.606688848493323894e+04
1.014128855595917003e+02,2.930422786128785083e+04
1.073783494160382617e+02,3.174274323568483305e+04
1.133438132724848373e+02,3.476986576941901149e+04
1.193092771289313987e+02,3.781100275932789373e+04
1.252747409853779743e+02,4.074002409983921098e+04
1.312402048418245499e+02,4.376714663357339305e+04
1.372056686982711255e+02,4.634580656971732242e+04
1.431711325547177012e+02,4.895249541821064486e+04
1.491365964111642484e+02,5.150312644200518844e+04
1.551020602676108240e+02,5.395565627257686720e+04
1.610675241240573996e+02,5.629607045375098096e+04
1.670329879805039752e+02,5.823006540585892799e+04
1.729984518369505508e+02,6.023413263884035405e+04
1.789639156933970980e+02,6.190185292362909240e+04
1.849293795498436737e+02,6.340139973432149418e+04
1.908948434062902493e+02,6.453657068447180791e+04
1.968603072627368249e+02,6.555962598522457120e+04
2.028257711191834005e+02,6.645655118040506204e+04
2.087912349756299477e+02,6.717128844531452341e+04
2.147566988320765233e+02,6.785799679787459900e+04
2.207221626885230990e+02,6.834850276398893038e+04
2.266876265449696746e+02,6.879696536157917581e+04
2.326530904014162502e+02,6.897915329185021983e+04
2.386185542578627974e+02,6.916134122212124930e+04
2.445840181143093730e+02,6.925944241534412140e+04
2.505494819707559486e+02,6.930148578386820736e+04
2.565149458272024958e+02,6.935754360856699350e+04
2.624804096836490999e+02,6.937155806474167912e+04
2.684458735400956471e+02,6.937155806474167912e+04
2.744113373965422511e+02,6.937155806474167912e+04
2.803768012529887983e+02,6.937155806474167912e+04
2.863422651094354023e+02,6.937155806474167912e+04
2.923077289658819495e+02,6.937155806474167912e+04
