# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
6.876612257193808198e+00,1.618770151773339023e+02
1.375322451438761640e+01,5.665695531206687292e+02
2.062983677158142370e+01,1.303109972177538111e+03
2.750644902877523279e+01,2.209621257170607805e+03
3.438306128596904188e+01,3.286103408099878379e+03
4.125967354316284741e+01,4.969624365944151577e+03
4.813628580035666005e+01,6.774553085171423845e+03
5.501289805755046558e+01,8.700889565781697456e+03
6.188951031474427111e+01,1.070816455398063772e+04
6.876612257193808375e+01,1.266687643762637890e+04
7.564273482913189639e+01,1.436658509698838498e+04
8.251934708632569482e+01,1.580729053206665594e+04
8.939595934351950746e+01,1.728037137018039357e+04
9.627257160071332009e+01,1.863204444691113167e+04
1.031491838579071185e+02,1.995134212060640493e+04
1.100257961151009312e+02,2.122207668974847547e+04
1.169024083722947438e+02,2.237949734826641361e+04
1.237790206294885422e+02,2.372307657423828641e+04
1.306556328866823549e+02,2.498571729262148801e+04
1.375322451438761675e+02,2.621598260796922841e+04
1.444088574010699801e+02,2.726008935586303051e+04
1.512854696582637928e+02,2.832038380527456684e+04
1.581620819154575770e+02,2.925117664254423653e+04
1.650386941726513896e+02,3.021434488284937470e+04
1.719153064298452023e+02,3.099944840645944350e+04
1.787919186870390149e+02,3.172789497475744793e+04
1.856685309442328276e+02,3.249681079684978249e+04
1.925451432014266402e+02,3.313622500680025405e+04
1.994217554586204244e+02,3.384848387358052423e+04
2.062983677158142370e+02,3.452027348656646063e+04
2.131749799730080497e+02,3.524062620410559612e+04
2.200515922302018623e+02,3.579100805570853117e+04
2.269282044873956750e+02,3.630901450427599775e+04
2.338048167445894876e+02,3.685130250512006751e+04
2.406814290017833002e+02,3.738549665520526469e+04
2.475580412589770845e+02,3.795206620832593762e+04
2.544346535161708971e+02,3.842960340309907042e+04
2.613112657733647097e+02,3.879382668724807445e+04
2.681878780305585224e+02,3.919042537443253968e+04
2.750644902877523350e+02,3.949799170326947205e+04
2.819411025449461476e+02,3.973271337527660944e+04
2.888177148021399603e+02,3.991887194273054047e+04
2.956943270593337729e+02,4.003218585335467651e+04
3.025709393165275856e+02,4.006456125639014499e+04
3.094475515737213414e+02,4.006456125639014499e+04
3.163241638309151540e+02,4.006456125639014499e+04
3.232007760881089666e+02,4.006456125639014499e+04
3.300773883453027793e+02,4.006456125639014499e+04
3.369540006024965919e+02,4.006456125639014499e+04
