# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
1.417667121791307938e+00,8.997763240085008718e+00
2.835334243582615876e+00,2.899279266249613940e+01
4.253001365373924259e+00,5.598608238275116378e+01
5.670668487165231753e+00,9.097738387197064469e+01
7.088335608956539247e+00,1.569609809659273765e+02
8.506002730747848517e+00,2.479383648378980070e+02
9.923669852539156011e+00,3.469137604788331259e+02
1.134133697433046351e+01,4.568864223020943314e+02
1.275900409612177100e+01,5.808556047210432780e+02
1.417667121791307849e+01,7.108232959667157047e+02
1.559433833970438776e+01,8.517882533947141610e+02
1.701200546149569703e+01,1.018746749071847034e+03
1.842967258328700453e+01,1.180706487393377301e+03
1.984733970507831202e+01,1.354663243368353960e+03
2.126500682686961952e+01,1.522621490516607537e+03
2.268267394866092701e+01,1.715573524442874941e+03
2.410034107045223450e+01,1.910525061311383524e+03
2.551800819224354200e+01,2.102477343766530339e+03
2.693567531403484949e+01,2.320423164470811571e+03
2.835334243582615699e+01,2.522372961637163826e+03
2.977100955761746803e+01,2.718324249976792998e+03
3.118867667940877553e+01,2.899279266249614011e+03
3.260634380120008302e+01,3.112226329598292523e+03
3.402401092299139407e+01,3.318175132649127136e+03
3.544167804478269801e+01,3.495131143037465336e+03
3.685934516657400906e+01,3.659090384301236554e+03
3.827701228836531300e+01,3.817051116738284691e+03
3.969467941015662404e+01,3.952017565339559951e+03
4.111234653194792799e+01,4.095981777180919835e+03
4.253001365373923903e+01,4.215951953715386480e+03
4.394768077553054297e+01,4.360915917027867181e+03
4.536534789732185402e+01,4.467889324437766845e+03
4.678301501911316507e+01,4.575862483318786872e+03
4.820068214090446901e+01,4.655842601008431302e+03
4.961834926269578006e+01,4.727824706929111926e+03
5.103601638448708400e+01,4.787809795196344567e+03
5.245368350627839504e+01,4.834798114339011590e+03
5.387135062806969898e+01,4.875787924654953713e+03
5.528901774986101003e+01,4.902781214375208947e+03
5.670668487165231397e+01,4.917777486442017107e+03
5.812435199344362502e+01,4.936772764393307625e+03
5.954201911523493607e+01,4.944770776162272341e+03
6.095968623702624001e+01,4.946770279104513065e+03
6.237735335881755105e+01,4.948769782046754699e+03
6.379502048060885500e+01,4.948769782046754699e+03
6.521268760240016604e+01,4.948769782046754699e+03
6.663035472419147709e+01,4.948769782046754699e+03
6.804802184598278814e+01,4.948769782046754699e+03
6.946568896777408497e+01,4.948769782046754699e+03
