# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
4.141360326611166265e+00,0.000000000000000000e+00
8.282720653222332530e+00,0.000000000000000000e+00
1.242408097983349791e+01,2.195171257085010268e+02
1.656544130644466506e+01,5.853790018893361093e+02
2.070680163305583221e+01,1.243930379014839218e+03
2.484816195966699581e+01,2.121998881848843212e+03
2.898952228627816297e+01,2.561033133265845208e+03
3.313088261288933012e+01,3.439101636099849657e+03
3.727224293950049372e+01,4.683032015114688875e+03
4.141360326611166442e+01,5.561100517948692868e+03
4.555496359272282803e+01,6.365996645546530090e+03
4.969632391933399163e+01,7.244065148380534083e+03
5.383768424594516233e+01,8.707512653103874982e+03
5.797904457255632593e+01,1.009778778259104729e+04
6.212040489916749664e+01,1.119537341113355251e+04
6.626176522577866024e+01,1.243930379014839127e+04
7.040312555238982384e+01,1.463447504723340171e+04
7.454448587900098744e+01,1.595157780148440906e+04
7.868584620561216525e+01,1.741502530620774996e+04
8.282720653222332885e+01,1.821992143380558628e+04
8.696856685883449245e+01,1.917116231187575613e+04
9.110992718544565605e+01,1.975654131376509395e+04
9.525128751205681965e+01,2.070778219183526380e+04
9.939264783866798325e+01,2.173219544514160225e+04
1.035340081652791611e+02,2.217122969655860288e+04
1.076753684918903247e+02,2.297612582415644283e+04
1.118167288185014883e+02,2.378102195175427914e+04
1.159580891451126519e+02,2.429322857840744837e+04
1.200994494717238155e+02,2.480543520506061759e+04
1.242408097983349933e+02,2.531764183171378681e+04
1.283821701249461569e+02,2.597619320883928958e+04
1.325235304515573205e+02,2.670791696120095730e+04
1.366648907781684841e+02,2.685426171167329449e+04
1.408062511047796477e+02,2.743964071356262866e+04
1.449476114313908113e+02,2.758598546403496221e+04
1.490889717580019749e+02,2.787867496497963293e+04
1.532303320846131385e+02,2.809819209068813143e+04
1.573716924112243305e+02,2.817136446592430002e+04
1.615130527378354941e+02,2.875674346781363420e+04
1.656544130644466577e+02,2.890308821828596774e+04
1.697957733910578213e+02,2.904943296875830492e+04
1.739371337176689849e+02,2.941529484493913696e+04
1.780784940442801485e+02,2.956163959541147415e+04
1.822198543708913121e+02,2.963481197064763910e+04
1.863612146975024757e+02,2.970798434588380769e+04
1.905025750241136393e+02,2.970798434588380769e+04
1.946439353507248029e+02,2.970798434588380769e+04
1.987852956773359665e+02,2.970798434588380769e+04
2.029266560039471301e+02,2.970798434588380769e+04
