# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
1.868363108983527088e+00,0.000000000000000000e+00
3.736726217967054176e+00,1.764497784743669229e+02
5.605089326950581707e+00,1.764497784743669229e+02
7.473452435934108351e+00,1.764497784743669229e+02
9.341815544917634995e+00,2.646746677115503985e+02
1.121017865390116341e+01,3.528995569487338457e+02
1.307854176288469006e+01,4.411244461859172930e+02
1.494690487186821670e+01,7.940240031346511387e+02
1.681526798085174335e+01,1.058698670846201594e+03
1.868363108983526999e+01,1.146923560083384928e+03
2.055199419881879663e+01,1.764497784743669172e+03
2.242035730780232683e+01,2.382072009403953416e+03
2.428872041678585347e+01,2.823196455589870766e+03
2.615708352576938012e+01,3.264320901775788116e+03
2.802544663475290676e+01,3.705445347961705465e+03
2.989380974373643340e+01,4.058344904910439254e+03
3.176217285271996005e+01,4.675919129570723271e+03
3.363053596170348669e+01,5.293493354231007288e+03
3.549889907068701689e+01,6.087517357365658427e+03
3.736726217967053998e+01,6.440416914314392670e+03
3.923562528865407018e+01,7.057991138974676687e+03
4.110398839763759327e+01,7.499115585160594492e+03
4.297235150662112346e+01,7.763790252872144265e+03
4.484071461560465366e+01,8.469589366769612752e+03
4.670907772458817675e+01,9.087163591429896769e+03
4.857744083357170695e+01,9.528288037615813664e+03
5.044580394255523004e+01,9.792962705327363437e+03
5.231416705153876023e+01,1.014586226227609768e+04
5.418253016052228332e+01,1.085166137617356617e+04
5.605089326950581352e+01,1.129278582235948306e+04
5.791925637848933661e+01,1.208680982549413420e+04
5.978761948747286681e+01,1.226325960396850132e+04
6.165598259645639700e+01,1.243970938244286845e+04
6.352434570543992010e+01,1.261615916091723557e+04
6.539270881442344319e+01,1.323373338557751958e+04
6.726107192340697338e+01,1.358663294252625201e+04
6.912943503239050358e+01,1.402775738871217072e+04
7.099779814137403378e+01,1.411598227794935337e+04
7.286616125035754976e+01,1.429243205642372050e+04
7.473452435934107996e+01,1.455710672413527027e+04
7.660288746832461015e+01,1.464533161337245474e+04
7.847125057730814035e+01,1.482178139184682186e+04
8.033961368629167055e+01,1.508645605955837163e+04
8.220797679527518653e+01,1.543935561650710588e+04
8.407633990425871673e+01,1.579225517345584012e+04
8.594470301324224693e+01,1.579225517345584012e+04
8.781306612222577712e+01,1.588048006269302277e+04
8.968142923120930732e+01,1.623337961964175702e+04
9.154979234019282330e+01,1.649805428735330861e+04
