# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
1.401253410682387956e+00,0.000000000000000000e+00
2.802506821364775913e+00,0.000000000000000000e+00
4.203760232047163647e+00,8.514961189736736742e+02
5.605013642729551826e+00,8.514961189736736742e+02
7.006267053411940005e+00,8.514961189736736742e+02
8.407520464094327295e+00,1.702992237947347348e+03
9.808773874776715473e+00,1.702992237947347348e+03
1.121002728545910365e+01,1.702992237947347348e+03
1.261128069614149183e+01,1.702992237947347348e+03
1.401253410682388001e+01,1.702992237947347348e+03
1.541378751750626819e+01,2.554488356921021023e+03
1.681504092818865459e+01,3.405984475894694697e+03
1.821629433887104454e+01,3.405984475894694697e+03
1.961754774955343095e+01,3.405984475894694697e+03
2.101880116023582090e+01,4.257480594868368826e+03
2.242005457091820730e+01,4.257480594868368826e+03
2.382130798160059371e+01,5.960472832815716174e+03
2.522256139228298366e+01,5.960472832815716174e+03
2.662381480296537006e+01,6.811968951789389394e+03
2.802506821364776002e+01,6.811968951789389394e+03
2.942632162433014642e+01,6.811968951789389394e+03
3.082757503501253638e+01,7.663465070763063522e+03
3.222882844569492278e+01,8.514961189736737651e+03
3.363008185637730918e+01,8.514961189736737651e+03
3.503133526705969558e+01,8.514961189736737651e+03
3.643258867774208909e+01,8.514961189736737651e+03
3.783384208842447549e+01,8.514961189736737651e+03
3.923509549910686189e+01,8.514961189736737651e+03
4.063634890978924830e+01,9.366457308710410871e+03
4.203760232047164180e+01,9.366457308710410871e+03
4.343885573115402821e+01,1.021795342768408409e+04
4.484010914183641461e+01,1.021795342768408409e+04
4.624136255251880101e+01,1.021795342768408409e+04
4.764261596320118741e+01,1.021795342768408409e+04
4.904386937388358092e+01,1.021795342768408409e+04
5.044512278456596732e+01,1.021795342768408409e+04
5.184637619524835372e+01,1.021795342768408409e+04
5.324762960593074013e+01,1.021795342768408409e+04
5.464888301661313363e+01,1.021795342768408409e+04
5.605013642729552004e+01,1.021795342768408409e+04
5.745138983797790644e+01,1.106944954665775913e+04
5.885264324866029284e+01,1.106944954665775913e+04
6.025389665934267924e+01,1.192094566563143235e+04
6.165515007002507275e+01,1.192094566563143235e+04
6.305640348070745915e+01,1.277244178460510557e+04
6.445765689138984555e+01,1.277244178460510557e+04
6.585891030207223196e+01,1.277244178460510557e+04
6.726016371275461836e+01,1.277244178460510557e+04
6.866141712343700476e+01,1.277244178460510557e+04
