# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
4.326197961716895968e+00,5.967461408780398813e+01
8.652395923433791936e+00,1.193492281756079763e+02
1.297859388515068702e+01,2.983730704390199548e+02
1.730479184686758387e+01,8.354445972292558054e+02
2.163098980858448073e+01,1.253166895843883822e+03
2.595718777030137403e+01,2.088611493073139627e+03
3.028338573201827089e+01,2.864381476214591203e+03
3.460958369373516774e+01,3.699826073443847235e+03
3.893578165545206105e+01,4.236897600234083257e+03
4.326197961716896145e+01,5.430389881990162394e+03
4.758817757888585476e+01,6.086810636956006419e+03
5.191437554060274806e+01,7.220628304624282464e+03
5.624057350231964847e+01,8.473795200468166513e+03
6.056677146403654177e+01,9.428589025873030550e+03
6.489296942575343508e+01,1.080110514989252079e+04
6.921916738747033548e+01,1.205427204573640483e+04
7.354536534918723589e+01,1.360581201201930890e+04
7.787156331090412209e+01,1.456060583742417293e+04
8.219776127262102250e+01,1.551539966282903697e+04
8.652395923433792291e+01,1.611214580370707699e+04
9.085015719605480911e+01,1.760401115590217523e+04
9.517635515777170951e+01,1.861847959539484509e+04
9.950255311948860992e+01,1.933457496444849312e+04
1.038287510812054961e+02,2.017001956167774915e+04
1.081549490429223965e+02,2.124416261525822119e+04
1.124811470046392969e+02,2.207960721248747359e+04
1.168073449663561973e+02,2.261667873927771143e+04
1.211335429280730835e+02,2.357147256468257547e+04
1.254597408897899840e+02,2.440691716191183150e+04
1.297859388515068702e+02,2.494398868870206570e+04
1.341121368132237706e+02,2.542138560140449772e+04
1.384383347749406710e+02,2.595845712819473556e+04
1.427645327366575714e+02,2.649552865498496976e+04
1.470907306983744718e+02,2.715194940995081561e+04
1.514169286600913722e+02,2.745032248038983380e+04
1.557431266218082442e+02,2.774869555082885563e+04
1.600693245835251446e+02,2.846479091988250366e+04
1.643955225452420450e+02,2.888251321849712986e+04
1.687217205069589454e+02,2.894218783258493204e+04
1.730479184686758458e+02,2.906153706076054004e+04
1.773741164303927462e+02,2.918088628893614805e+04
1.817003143921096182e+02,2.935991013119956187e+04
1.860265123538265186e+02,2.947925935937516988e+04
1.903527103155434190e+02,2.947925935937516988e+04
1.946789082772603194e+02,2.959860858755077788e+04
1.990051062389772198e+02,2.959860858755077788e+04
2.033313042006941203e+02,2.959860858755077788e+04
2.076575021624109922e+02,2.959860858755077788e+04
2.119837001241278926e+02,2.959860858755077788e+04
