# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.553204054433089620e+00,0.000000000000000000e+00
5.106408108866179241e+00,0.000000000000000000e+00
7.659612163299268417e+00,2.158863602140708338e+02
1.021281621773235848e+01,4.317727204281416675e+02
1.276602027216544855e+01,4.317727204281416675e+02
1.531922432659853683e+01,7.196212007135694648e+02
1.787242838103162867e+01,1.007469680998997205e+03
2.042563243546471696e+01,1.151393921141710962e+03
2.297883648989780525e+01,1.727090881712566670e+03
2.553204054433089709e+01,2.518674202497492843e+03
2.808524459876398538e+01,3.670068123639203804e+03
3.063844865319707367e+01,4.389689324352773838e+03
3.319165270763016196e+01,5.037348404994985685e+03
3.574485676206325735e+01,5.469121125423127523e+03
3.829806081649634564e+01,5.900893845851269361e+03
4.085126487092943393e+01,6.548552926493482119e+03
4.340446892536252221e+01,7.124249887064337599e+03
4.595767297979561050e+01,7.915833207849263999e+03
4.851087703422870590e+01,8.707416528634190399e+03
5.106408108866179418e+01,9.139189249062332237e+03
5.361728514309488247e+01,9.930772569847258637e+03
5.617048919752797076e+01,1.065039377056082776e+04
5.872369325196105905e+01,1.115412861106032688e+04
6.127689730639414734e+01,1.129805285120303961e+04
6.383010136082724273e+01,1.158590133148846689e+04
6.638330541526032391e+01,1.230552253220203784e+04
6.893650946969341931e+01,1.288121949277289241e+04
7.148971352412651470e+01,1.302514373291560696e+04
7.404291757855959588e+01,1.338495433327239152e+04
7.659612163299269127e+01,1.381672705370053336e+04
7.914932568742577246e+01,1.403261341391460337e+04
8.170252974185886785e+01,1.432046189420003066e+04
8.425573379629196324e+01,1.468027249455681522e+04
8.680893785072504443e+01,1.504008309491360160e+04
8.936214190515813982e+01,1.525596945512767161e+04
9.191534595959122100e+01,1.547185581534174162e+04
9.446855001402431640e+01,1.561578005548445617e+04
9.702175406845741179e+01,1.604755277591259801e+04
9.957495812289049297e+01,1.640736337626938257e+04
1.021281621773235884e+02,1.669521185655481167e+04
1.046813662317566695e+02,1.705502245691159624e+04
1.072345702861897649e+02,1.727090881712566625e+04
1.097877743406228603e+02,1.777464365762516536e+04
1.123409783950559415e+02,1.791856789776787991e+04
1.148941824494890369e+02,1.827837849812466447e+04
1.174473865039221181e+02,1.863818909848144904e+04
1.200005905583552135e+02,1.892603757876687450e+04
1.225537946127882947e+02,1.928584817912365907e+04
1.251069986672213901e+02,1.964565877948044363e+04
