# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
1.702538490316357844e+00,4.588606681786814079e+02
3.405076980632715689e+00,4.588606681786814079e+02
5.107615470949073533e+00,7.341770690858902526e+02
6.810153961265431377e+00,7.341770690858902526e+02
8.512692451581788333e+00,7.341770690858902526e+02
1.021523094189814707e+01,1.009493469993099097e+03
1.191776943221450580e+01,1.009493469993099097e+03
1.362030792253086275e+01,1.101265603628835379e+03
1.532284641284721971e+01,1.743670539078989350e+03
1.702538490316357667e+01,1.743670539078989350e+03
1.872792339347993718e+01,1.743670539078989350e+03
2.043046188379629413e+01,1.835442672714725632e+03
2.213300037411265109e+01,1.835442672714725632e+03
2.383553886442901160e+01,1.835442672714725632e+03
2.553807735474536855e+01,2.294303340893407039e+03
2.724061584506172551e+01,2.844936142707824729e+03
2.894315433537808246e+01,3.762657479065187545e+03
3.064569282569443942e+01,3.946201746336660108e+03
3.234823131601079638e+01,3.946201746336660108e+03
3.405076980632715333e+01,4.221518147243868953e+03
3.575330829664351739e+01,4.588606681786814079e+03
3.745584678695987435e+01,5.231011617236968050e+03
3.915838527727623131e+01,5.873416552687122021e+03
4.086092376759258826e+01,6.240505087230067147e+03
4.256346225790894522e+01,7.158226423587429963e+03
4.426600074822530217e+01,7.341770690858902526e+03
4.596853923854165913e+01,7.341770690858902526e+03
4.767107772885802319e+01,7.617087091766111371e+03
4.937361621917438015e+01,7.800631359037583934e+03
5.107615470949073710e+01,7.800631359037583934e+03
5.277869319980709406e+01,8.351264160852002533e+03
5.448123169012345102e+01,9.085441229937892786e+03
5.618377018043980797e+01,9.360757630845100721e+03
5.788630867075616493e+01,9.544301898116573284e+03
5.958884716107252189e+01,9.544301898116573284e+03
6.129138565138887884e+01,9.911390432659518410e+03
6.299392414170524290e+01,9.911390432659518410e+03
6.469646263202159275e+01,1.009493469993099097e+04
6.639900112233794971e+01,1.046202323447393610e+04
6.810153961265430667e+01,1.064556750174540866e+04
6.980407810297067783e+01,1.082911176901688123e+04
7.150661659328703479e+01,1.082911176901688123e+04
7.320915508360339174e+01,1.082911176901688123e+04
7.491169357391974870e+01,1.082911176901688123e+04
7.661423206423610566e+01,1.101265603628835379e+04
7.831677055455246261e+01,1.101265603628835379e+04
8.001930904486881957e+01,1.101265603628835379e+04
8.172184753518517653e+01,1.101265603628835379e+04
8.342438602550153348e+01,1.101265603628835379e+04
