# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.137892209105646479e+00,0.000000000000000000e+00
4.275784418211292959e+00,0.000000000000000000e+00
6.413676627316939438e+00,0.000000000000000000e+00
8.551568836422585917e+00,1.161266668540618525e+02
1.068946104552823329e+01,1.741900002810927788e+02
1.282735325463387888e+01,4.064433339892164554e+02
1.496524546373952447e+01,5.225700008432783079e+02
1.710313767284517183e+01,1.219330001967649423e+03
1.924102988195081920e+01,1.974153336519051436e+03
2.137892209105646657e+01,2.206406670227175255e+03
2.351681430016211038e+01,3.077356671632639063e+03
2.565470650926775775e+01,3.309610005340762655e+03
2.779259871837340512e+01,4.064433339892164895e+03
2.993049092747904893e+01,4.819256674443567135e+03
3.206838313658469986e+01,5.690206675849030944e+03
3.420627534569034367e+01,6.328903343546370706e+03
3.634416755479598748e+01,6.909536677816679912e+03
3.848205976390163841e+01,7.257916678378865981e+03
4.061995197300728222e+01,8.244993346638391813e+03
4.275784418211293314e+01,8.709500014054638086e+03
4.489573639121857695e+01,9.696576682314163918e+03
4.703362860032422077e+01,1.074171668400072122e+04
4.917152080942987169e+01,1.143847668512509335e+04
5.130941301853551550e+01,1.225136335310352479e+04
5.344730522764115932e+01,1.294812335422789693e+04
5.558519743674681024e+01,1.358682002192523760e+04
5.772308964585245405e+01,1.439970668990366903e+04
5.986098185495809787e+01,1.509646669102804117e+04
6.199887406406374879e+01,1.596741669243350407e+04
6.413676627316939971e+01,1.660611336013084656e+04
6.627465848227504353e+01,1.707062002754709101e+04
6.841255069138068734e+01,1.782544336209849280e+04
7.055044290048633115e+01,1.811576002923365013e+04
7.268833510959197497e+01,1.840607669636880382e+04
7.482622731869763300e+01,1.869639336350395752e+04
7.696411952780327681e+01,1.892864669721208338e+04
7.910201173690892062e+01,1.921896336434723707e+04
8.123990394601456444e+01,1.956734336490942223e+04
8.337779615512020825e+01,1.997378669889863886e+04
8.551568836422586628e+01,2.032216669946082402e+04
8.765358057333151010e+01,2.032216669946082402e+04
8.979147278243715391e+01,2.055442003316894625e+04
9.192936499154279772e+01,2.061248336659597771e+04
9.406725720064844154e+01,2.072861003345004065e+04
9.620514940975408535e+01,2.090280003373113504e+04
9.834304161885974338e+01,2.107699003401222581e+04
1.004809338279653872e+02,2.119311670086628874e+04
1.026188260370710310e+02,2.130924336772035167e+04
1.047567182461766748e+02,2.136730670114737950e+04
