# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.577656318525237911e+00,0.000000000000000000e+00
5.155312637050475821e+00,7.858617410608783871e+01
7.732968955575714176e+00,7.858617410608783871e+01
1.031062527410095164e+01,1.571723482121756774e+02
1.288828159262618911e+01,3.143446964243513548e+02
1.546593791115142835e+01,6.286893928487027097e+02
1.804359422967666404e+01,9.430340892730540645e+02
2.062125054820190329e+01,1.257378785697405419e+03
2.319890686672714253e+01,1.964654352652195939e+03
2.577656318525237822e+01,2.278999049076547180e+03
2.835421950377761746e+01,2.750516093713074042e+03
3.093187582230285670e+01,3.300619312455688942e+03
3.350953214082809239e+01,4.400825749940919195e+03
3.608718845935332808e+01,4.950928968683533640e+03
3.866484477787857088e+01,5.815376883850500235e+03
4.124250109640380657e+01,6.679824799017465921e+03
4.382015741492904226e+01,7.308514191866168403e+03
4.639781373345428506e+01,7.701445062396607682e+03
4.897547005197952075e+01,8.094375932927046961e+03
5.155312637050475644e+01,8.801651499881838390e+03
5.413078268902999923e+01,9.823271763260980151e+03
5.670843900755523492e+01,1.037337498200359369e+04
5.928609532608047061e+01,1.108065054895838512e+04
6.186375164460571341e+01,1.139499524538273545e+04
6.444140796313094199e+01,1.202368463823143793e+04
6.701906428165618479e+01,1.225944316054970295e+04
6.959672060018142759e+01,1.312389107571666864e+04
7.217437691870665617e+01,1.383116664267145825e+04
7.475203323723189897e+01,1.430268368730798647e+04
7.732968955575714176e+01,1.508854542836886503e+04
7.990734587428237035e+01,1.579582099532365464e+04
8.248500219280761314e+01,1.666026891049062033e+04
8.506265851133285594e+01,1.768188917386976391e+04
8.764031482985808452e+01,1.799623387029411242e+04
9.021797114838332732e+01,1.854633708903672959e+04
9.279562746690857011e+01,1.917502648188543026e+04
9.537328378543379870e+01,1.948937117830978241e+04
9.795094010395904149e+01,2.035381909347674809e+04
1.005285964224842843e+02,2.058957761579501312e+04
1.031062527410095129e+02,2.090392231221936527e+04
1.056839090595347557e+02,2.176837022738633095e+04
1.082615653780599985e+02,2.208271492381068310e+04
1.108392216965852271e+02,2.263281814255329664e+04
1.134168780151104698e+02,2.318292136129591017e+04
1.159945343336357126e+02,2.365443840593243658e+04
1.185721906521609412e+02,2.428312779878114088e+04
1.211498469706861840e+02,2.475464484341766729e+04
1.237275032892114268e+02,2.506898953984201944e+04
1.263051596077366554e+02,2.506898953984201944e+04
