# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
3.976150855988636934e+00,6.276549380402946809e+01
7.952301711977273868e+00,6.276549380402946809e+01
1.192845256796591080e+01,1.882964814120884114e+02
1.590460342395454774e+01,5.021239504322357448e+02
1.988075427994318289e+01,1.380840863688648369e+03
2.385690513593182160e+01,2.322323270749090170e+03
2.783305599192046031e+01,2.573385245965208014e+03
3.180920684790909547e+01,3.389336665417591121e+03
3.578535770389773063e+01,4.268053578674003802e+03
3.976150855988636579e+01,5.084004998126387363e+03
4.373765941587500805e+01,5.774425429970710866e+03
4.771381027186364321e+01,6.339314874206976128e+03
5.168996112785227837e+01,7.280797281267417929e+03
5.566611198384092063e+01,8.473341663543978939e+03
5.964226283982955579e+01,9.477589564408450315e+03
6.361841369581819094e+01,1.023077549005680339e+04
6.759456455180682610e+01,1.167438184754948088e+04
7.157071540779546126e+01,1.280416073602201141e+04
7.554686626378409642e+01,1.393393962449454193e+04
7.952301711977273158e+01,1.518924950057513161e+04
8.349916797576138094e+01,1.619349740143960298e+04
8.747531883175001610e+01,1.757433826512825181e+04
9.145146968773865126e+01,1.832752419077660306e+04
9.542762054372728642e+01,1.958283406685719456e+04
9.940377139971592158e+01,2.083814394293778241e+04
1.033799222557045567e+02,2.159132986858613731e+04
1.073560731116931919e+02,2.221898480662643124e+04
1.113322239676818413e+02,2.309770171988284346e+04
1.153083748236704764e+02,2.416471511455134532e+04
1.192845256796591116e+02,2.510619752161178621e+04
1.232606765356477467e+02,2.573385245965208378e+04
1.272368273916363819e+02,2.654980387910446370e+04
1.312129782476250170e+02,2.705192782953670030e+04
1.351891291036136522e+02,2.786787924898908386e+04
1.391652799596022874e+02,2.830723770561729179e+04
1.431414308155909225e+02,2.893489264365758572e+04
1.471175816715795577e+02,2.943701659408982232e+04
1.510937325275681928e+02,2.987637505071802661e+04
1.550698833835568280e+02,2.993914054452205528e+04
1.590460342395454632e+02,3.019020251973817358e+04
1.630221850955341267e+02,3.044126449495429188e+04
1.669983359515227619e+02,3.069232647017041018e+04
1.709744868075113970e+02,3.094338844538652847e+04
1.749506376635000322e+02,3.100615393919055714e+04
1.789267885194886674e+02,3.113168492679861811e+04
1.829029393754773025e+02,3.113168492679861811e+04
1.868790902314659377e+02,3.113168492679861811e+04
1.908552410874545728e+02,3.113168492679861811e+04
1.948313919434432080e+02,3.113168492679861811e+04
