# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
5.424679733495583633e+00,3.783024273012896543e+01
1.084935946699116727e+01,1.513209709205158617e+02
1.627403920048675090e+01,7.187746118724503503e+02
2.169871893398233453e+01,1.778021408316061525e+03
2.712339866747791817e+01,2.307644806537867225e+03
3.254807840097350180e+01,3.404721845711606875e+03
3.797275813446908899e+01,4.804440826726378873e+03
4.339743786796466907e+01,6.128499322280892557e+03
4.882211760146024915e+01,7.679539274216180274e+03
5.424679733495583633e+01,8.776616313389920833e+03
5.967147706845142352e+01,1.047897723624572427e+04
6.509615680194700360e+01,1.210567767364127030e+04
7.052083653544258368e+01,1.377020835376694413e+04
7.594551626893817797e+01,1.569955073300352160e+04
8.137019600243375805e+01,1.808285602500164532e+04
8.679487573592933813e+01,2.065531253065041528e+04
9.221955546942491821e+01,2.258465490988699457e+04
9.764423520292049830e+01,2.458965777458382945e+04
1.030689149364160926e+02,2.648116991109027731e+04
1.084935946699116727e+02,2.833485180486659738e+04
1.139182744034072527e+02,3.045334539775381927e+04
1.193429541369028470e+02,3.155042243692755801e+04
1.247676338703984271e+02,3.291231117521219858e+04
1.301923136038940072e+02,3.404721845711606875e+04
1.356169933373896015e+02,3.537127695267058152e+04
1.410416730708851674e+02,3.661967496276483871e+04
1.464663528043807617e+02,3.756543103101806628e+04
1.518910325378763559e+02,3.885165928384244762e+04
1.573157122713719218e+02,3.945694316752451414e+04
1.627403920048675161e+02,4.040269923577773443e+04
1.681650717383630820e+02,4.123496457584057498e+04
1.735897514718586763e+02,4.218072064409380255e+04
1.790144312053542706e+02,4.278600452777586179e+04
1.844391109388498364e+02,4.331562792599766544e+04
1.898637906723454307e+02,4.395874205240986339e+04
1.952884704058409966e+02,4.433704447971114860e+04
2.007131501393365909e+02,4.467751666428230965e+04
2.061378298728321852e+02,4.513147957704385772e+04
2.115625096063277510e+02,4.539629127615476318e+04
2.169871893398233453e+02,4.573676346072592423e+04
2.224118690733189396e+02,4.585025418891631125e+04
2.278365488068145055e+02,4.600157515983682242e+04
2.332612285403100998e+02,4.626638685894772789e+04
2.386859082738056941e+02,4.630421710167785932e+04
2.441105880073012599e+02,4.634204734440798347e+04
2.495352677407968542e+02,4.634204734440798347e+04
2.549599474742924201e+02,4.634204734440798347e+04
2.603846272077880144e+02,4.634204734440798347e+04
2.658093069412835803e+02,4.634204734440798347e+04
