# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.268582226869325424e+00,0.000000000000000000e+00
4.537164453738650849e+00,0.000000000000000000e+00
6.805746680607976273e+00,9.768113228048851227e+01
9.074328907477301698e+00,9.768113228048851227e+01
1.134291113434662712e+01,9.768113228048851227e+01
1.361149336121595255e+01,1.953622645609770245e+02
1.588007558808527797e+01,3.907245291219540491e+02
1.814865781495460340e+01,9.768113228048852079e+02
2.041724004182393060e+01,1.269854719646350759e+03
2.268582226869325424e+01,1.367535851926839314e+03
2.495440449556257789e+01,1.758260381048793306e+03
2.722298672243190509e+01,2.051303777890258971e+03
2.949156894930123229e+01,2.637390571573189845e+03
3.176015117617055594e+01,3.125796232975632392e+03
3.402873340303987959e+01,3.907245291219540832e+03
3.629731562990920679e+01,4.688694349463448816e+03
3.856589785677853399e+01,5.372462275426868473e+03
4.083448008364786119e+01,5.372462275426868473e+03
4.310306231051718129e+01,5.763186804548822693e+03
4.537164453738650849e+01,6.349273598231753567e+03
4.764022676425583569e+01,7.423766053317127444e+03
4.990880899112515579e+01,8.205215111561035883e+03
5.217739121799448299e+01,8.791301905243966758e+03
5.444597344486381019e+01,9.377388698926897632e+03
5.671455567173313739e+01,1.006115662489031638e+04
5.898313789860246459e+01,1.035420002173178364e+04
6.125172012547178468e+01,1.094028681541471451e+04
6.352030235234111188e+01,1.181941700593911082e+04
6.578888457921043198e+01,1.289390946102448470e+04
6.805746680607975918e+01,1.387072078382936888e+04
7.032604903294908638e+01,1.484753210663425489e+04
7.259463125981841358e+01,1.543361890031718576e+04
7.486321348668774078e+01,1.592202456171962876e+04
7.713179571355706798e+01,1.641043022312207177e+04
7.940037794042639518e+01,1.748492267820744382e+04
8.166896016729572239e+01,1.797332833960988864e+04
8.393754239416503538e+01,1.826637173645135408e+04
8.620612462103436258e+01,1.836405286873184014e+04
8.847470684790368978e+01,1.895013966241477101e+04
9.074328907477301698e+01,1.953622645609770188e+04
9.301187130164234418e+01,2.041535664662210183e+04
9.528045352851167138e+01,2.109912457258551876e+04
9.754903575538099858e+01,2.168521136626844964e+04
9.981761798225031157e+01,2.188057363082942902e+04
1.020862002091196388e+02,2.207593589539040477e+04
1.043547824359889660e+02,2.256434155679284595e+04
1.066233646628582932e+02,2.295506608591480108e+04
1.088919468897276204e+02,2.334579061503675621e+04
1.111605291165969476e+02,2.363883401187822165e+04
