# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
2.364243065339481642e-01,0.000000000000000000e+00
4.728486130678963284e-01,0.000000000000000000e+00
7.092729196018444648e-01,0.000000000000000000e+00
9.456972261357926568e-01,3.260839396359047896e+03
1.182121532669740738e+00,3.260839396359047896e+03
1.418545839203688930e+00,3.260839396359047896e+03
1.654970145737637122e+00,3.260839396359047896e+03
1.891394452271585314e+00,3.260839396359047896e+03
2.127818758805533506e+00,3.260839396359047896e+03
2.364243065339481475e+00,3.260839396359047896e+03
2.600667371873429889e+00,3.260839396359047896e+03
2.837091678407377859e+00,3.260839396359047896e+03
3.073515984941326273e+00,3.260839396359047896e+03
3.309940291475274243e+00,3.260839396359047896e+03
3.546364598009222657e+00,3.260839396359047896e+03
3.782788904543170627e+00,3.260839396359047896e+03
4.019213211077119041e+00,3.260839396359047896e+03
4.255637517611067011e+00,3.260839396359047896e+03
4.492061824145014981e+00,3.260839396359047896e+03
4.728486130678962951e+00,3.260839396359047896e+03
4.964910437212911809e+00,3.260839396359047896e+03
5.201334743746859779e+00,3.260839396359047896e+03
5.437759050280807749e+00,3.260839396359047896e+03
5.674183356814755719e+00,3.260839396359047896e+03
5.910607663348703689e+00,3.260839396359047896e+03
6.147031969882652547e+00,3.260839396359047896e+03
6.383456276416600517e+00,3.260839396359047896e+03
6.619880582950548487e+00,3.260839396359047896e+03
6.856304889484496456e+00,3.260839396359047896e+03
7.092729196018445315e+00,3.260839396359047896e+03
7.329153502552393284e+00,3.260839396359047896e+03
7.565577809086341254e+00,3.260839396359047896e+03
7.802002115620289224e+00,3.260839396359047896e+03
8.038426422154238082e+00,3.260839396359047896e+03
8.274850728688186052e+00,3.260839396359047896e+03
8.511275035222134022e+00,3.260839396359047896e+03
8.747699341756081992e+00,3.260839396359047896e+03
8.984123648290029962e+00,3.260839396359047896e+03
9.220547954823977932e+00,3.260839396359047896e+03
9.456972261357925902e+00,3.260839396359047896e+03
9.693396567891873872e+00,3.260839396359047896e+03
9.929820874425823618e+00,3.260839396359047896e+03
1.016624518095977159e+01,3.260839396359047896e+03
1.040266948749371956e+01,6.521678792718095792e+03
1.063909379402766753e+01,9.782518189077143688e+03
1.087551810056161550e+01,9.782518189077143688e+03
1.111194240709556347e+01,9.782518189077143688e+03
1.134836671362951144e+01,9.782518189077143688e+03
1.158479102016345941e+01,9.782518189077143688e+03
