# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
3.146427966701750290e+00,1.118584540616123775e+02
6.292855933403500579e+00,1.864307567693539625e+02
9.439283900105250424e+00,2.982892108309663399e+02
1.258571186680700116e+01,4.474338162464495099e+02
1.573213983350875189e+01,1.118584540616123832e+03
1.887856780021050085e+01,1.566018356862573228e+03
2.202499576691225158e+01,2.088024475816764152e+03
2.517142373361400232e+01,2.908319805601921871e+03
2.831785170031575305e+01,3.243895167786758975e+03
3.146427966701750378e+01,3.952332043510303720e+03
3.461070763371925096e+01,4.623482767879978383e+03
3.775713560042100170e+01,5.891211913911584816e+03
4.090356356712275243e+01,6.860651849112225136e+03
4.404999153382450316e+01,7.979236389728349423e+03
4.719641950052625390e+01,9.097820930344472799e+03
5.034284746722800463e+01,1.029097777366833907e+04
5.348927543392975537e+01,1.137227616293059145e+04
5.663570340063150610e+01,1.245357455219284384e+04
5.978213136733325683e+01,1.372130369822445027e+04
6.292855933403500757e+01,1.495174669290218662e+04
6.607498730073675119e+01,1.584661432539508678e+04
6.922141526743850193e+01,1.707705732007282131e+04
7.236784323414025266e+01,1.808378340662733535e+04
7.551427120084200340e+01,1.931422640130506988e+04
7.866069916754375413e+01,2.043281094192119417e+04
8.180712713424550486e+01,2.136496472576796441e+04
8.495355510094725560e+01,2.229711850961473465e+04
8.809998306764900633e+01,2.300555538533827712e+04
9.124641103435075706e+01,2.367670610970795315e+04
9.439283900105250780e+01,2.457157374220084967e+04
9.753926696775425853e+01,2.554101367740148999e+04
1.006856949344560093e+02,2.643588130989439014e+04
1.038321229011577600e+02,2.755446585051051443e+04
1.069785508678595107e+02,2.852390578571115475e+04
1.101249788345612615e+02,2.934420111549631110e+04
1.132714068012630122e+02,3.016449644528147110e+04
1.164178347679647629e+02,3.094750562371275737e+04
1.195642627346665137e+02,3.150679789402081951e+04
1.227106907013682644e+02,3.236437937515984595e+04
1.258571186680700151e+02,3.299824394817565189e+04
1.290035466347717659e+02,3.348296391577596660e+04
1.321499746014735024e+02,3.389311158066854841e+04
1.352964025681752673e+02,3.467612075909983832e+04
1.384428305348770039e+02,3.568284684565434873e+04
1.415892585015787688e+02,3.613028066190079699e+04
1.447356864682805053e+02,3.680143138627047301e+04
1.478821144349822703e+02,3.743529595928627532e+04
1.510285424016840068e+02,3.803187438094820391e+04
1.541749703683857717e+02,3.859116665125626605e+04
