# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
4.835999805420882147e+00,1.022371521170029212e+02
9.671999610841764294e+00,2.044743042340058423e+02
1.450799941626264555e+01,4.600671845265131310e+02
1.934399922168352859e+01,1.226845825404034940e+03
2.417999902710441162e+01,2.607047378983574617e+03
2.901599883252529111e+01,3.220470291685592201e+03
3.385199863794617414e+01,3.987248932563114067e+03
3.868799844336705718e+01,5.265213334025650511e+03
4.352399824878794021e+01,6.492059159429685678e+03
4.835999805420882325e+01,7.565549256658216109e+03
5.319599785962970628e+01,8.690157929945247815e+03
5.803199766505058221e+01,1.017259663564179027e+04
6.286799747047146525e+01,1.114384958075331815e+04
6.770399727589234828e+01,1.221733967798184858e+04
7.253999708131323132e+01,1.334194835126888029e+04
7.737599688673411436e+01,1.410872699214640306e+04
8.221199669215499739e+01,1.482438705696542274e+04
8.704799649757588043e+01,1.528445424149193605e+04
9.188399630299676346e+01,1.589787715419395317e+04
9.671999610841764650e+01,1.620458861054496265e+04
1.015559959138385295e+02,1.651130006689597212e+04
1.063919957192594126e+02,1.697136725142248542e+04
1.112279955246802956e+02,1.763590874018300383e+04
1.160639953301011644e+02,1.814709450076801659e+04
1.208999951355220475e+02,1.891387314164554118e+04
1.257359949409429305e+02,1.957841463040605959e+04
1.305719947463638277e+02,2.054966757551758565e+04
1.354079945517846966e+02,2.157203909668761480e+04
1.402439943572055938e+02,2.249217346574064140e+04
1.450799941626264626e+02,2.346342641085217110e+04
1.499159939680473599e+02,2.438356077990519771e+04
1.547519937734682287e+02,2.545705087713372632e+04
1.595879935788890975e+02,2.607047378983574527e+04
1.644239933843099948e+02,2.673501527859626367e+04
1.692599931897308636e+02,2.755291249553228772e+04
1.740959929951517609e+02,2.821745398429280613e+04
1.789319928005726297e+02,2.893311404911182763e+04
1.837679926059935269e+02,2.913758835334583273e+04
1.886039924114143957e+02,2.959765553787234603e+04
1.934399922168352930e+02,3.000660414634035624e+04
1.982759920222561618e+02,3.005772272239885933e+04
2.031119918276770591e+02,3.015995987451586188e+04
2.079479916330979279e+02,3.036443417874986699e+04
2.127839914385188251e+02,3.036443417874986699e+04
2.176199912439396940e+02,3.041555275480837008e+04
2.224559910493605912e+02,3.041555275480837008e+04
2.272919908547814600e+02,3.041555275480837008e+04
2.321279906602023289e+02,3.041555275480837008e+04
2.369639904656232261e+02,3.041555275480837008e+04
