# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
1.167708642631959837e+00,1.717646970447093736e+03
2.335417285263919673e+00,1.855058728082861080e+03
3.503125927895879510e+00,1.923764606900744866e+03
4.670834570527839347e+00,1.923764606900744866e+03
5.838543213159798739e+00,1.923764606900744866e+03
7.006251855791759020e+00,1.923764606900744866e+03
8.173960498423719301e+00,1.923764606900744866e+03
9.341669141055678693e+00,1.923764606900744866e+03
1.050937778368763809e+01,1.923764606900744866e+03
1.167708642631959748e+01,2.061176364536512210e+03
1.284479506895155865e+01,2.061176364536512210e+03
1.401250371158351804e+01,2.129882243354395996e+03
1.518021235421547743e+01,2.198588122172279782e+03
1.634792099684743860e+01,2.267294000990163568e+03
1.751562963947939622e+01,2.335999879808047353e+03
1.868333828211135739e+01,2.335999879808047353e+03
1.985104692474331856e+01,2.404705758625931139e+03
2.101875556737527617e+01,2.542117516261698711e+03
2.218646421000723734e+01,2.679529273897466283e+03
2.335417285263919496e+01,2.679529273897466283e+03
2.452188149527115613e+01,2.748235152715350068e+03
2.568959013790311730e+01,2.748235152715350068e+03
2.685729878053507491e+01,3.023058667986884757e+03
2.802500742316703608e+01,3.091764546804768543e+03
2.919271606579899725e+01,3.297882183258419900e+03
3.036042470843095487e+01,3.435293940894187472e+03
3.152813335106291603e+01,3.572705698529955043e+03
3.269584199369487720e+01,3.572705698529955043e+03
3.386355063632683482e+01,3.572705698529955043e+03
3.503125927895879244e+01,3.572705698529955043e+03
3.619896792159075716e+01,3.778823334983605946e+03
3.736667656422271477e+01,4.191058607890908206e+03
3.853438520685467239e+01,4.397176244344559564e+03
3.970209384948663711e+01,4.603293880798210921e+03
4.086980249211859473e+01,4.809411517251862278e+03
4.203751113475055234e+01,4.809411517251862278e+03
4.320521977738251707e+01,4.946823274887629850e+03
4.437292842001447468e+01,5.084235032523397422e+03
4.554063706264643230e+01,5.084235032523397422e+03
4.670834570527838991e+01,5.084235032523397422e+03
4.787605434791035464e+01,5.084235032523397422e+03
4.904376299054231225e+01,5.084235032523397422e+03
5.021147163317426987e+01,5.084235032523397422e+03
5.137918027580623459e+01,5.084235032523397422e+03
5.254688891843819221e+01,5.359058547794932565e+03
5.371459756107014982e+01,5.359058547794932565e+03
5.488230620370211454e+01,5.359058547794932565e+03
5.605001484633407216e+01,5.359058547794932565e+03
5.721772348896602978e+01,5.359058547794932565e+03
