# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
1.880328186471013296e+00,0.000000000000000000e+00
3.760656372942026593e+00,2.572441650696522970e+02
5.640984559413039889e+00,2.572441650696522970e+02
7.521312745884053186e+00,5.144883301393045940e+02
9.401640932355066482e+00,5.144883301393045940e+02
1.128196911882607978e+01,5.144883301393045940e+02
1.316229730529709308e+01,5.144883301393045940e+02
1.504262549176810637e+01,1.286220825348261315e+03
1.692295367823911789e+01,2.057953320557218376e+03
1.880328186471013296e+01,2.572441650696522629e+03
2.068361005118114804e+01,3.086929980835827337e+03
2.256393823765215956e+01,3.601418310975131590e+03
2.444426642412317108e+01,3.601418310975131590e+03
2.632459461059418615e+01,3.858662476044783944e+03
2.820492279706520122e+01,4.115906641114436752e+03
3.008525098353621274e+01,4.373150806184088651e+03
3.196557917000722426e+01,4.630394971253740550e+03
3.384590735647823578e+01,4.630394971253740550e+03
3.572623554294925441e+01,4.630394971253740550e+03
3.760656372942026593e+01,5.144883301393045258e+03
3.948689191589127745e+01,5.402127466462698067e+03
4.136722010236229607e+01,5.659371631532349966e+03
4.324754828883330759e+01,6.173859961671654673e+03
4.512787647530431911e+01,6.431104126741306573e+03
4.700820466177533064e+01,6.945592456880611280e+03
4.888853284824634216e+01,7.460080787019915988e+03
5.076886103471736078e+01,7.717324952089567887e+03
5.264918922118837230e+01,8.231813282228873504e+03
5.452951740765938382e+01,8.489057447298524494e+03
5.640984559413040245e+01,8.746301612368177302e+03
5.829017378060141397e+01,8.746301612368177302e+03
6.017050196707242549e+01,8.746301612368177302e+03
6.205083015354343701e+01,9.260789942507481101e+03
6.393115834001444853e+01,1.003252243771643771e+04
6.581148652648546715e+01,1.028976660278609052e+04
6.769181471295647157e+01,1.028976660278609052e+04
6.957214289942749019e+01,1.080425493292539613e+04
7.145247108589850882e+01,1.080425493292539613e+04
7.333279927236951323e+01,1.131874326306469993e+04
7.521312745884053186e+01,1.183323159320400373e+04
7.709345564531155048e+01,1.183323159320400373e+04
7.897378383178255490e+01,1.209047575827365654e+04
8.085411201825357352e+01,1.234771992334330935e+04
8.273444020472459215e+01,1.260496408841296034e+04
8.461476839119559656e+01,1.286220825348261315e+04
8.649509657766661519e+01,1.286220825348261315e+04
8.837542476413761960e+01,1.311945241855226595e+04
9.025575295060863823e+01,1.363394074869156975e+04
9.213608113707965686e+01,1.363394074869156975e+04
