tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,study-site,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-serial-no
2007MX-MK10-05963,4405963,Physeter macrocephalus,2007-03-27 17:25:00.000,2007-04-06 09:05:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.2089,-112.2275,,,,,,,2007MX-05963,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05841,4405841,Physeter macrocephalus,2007-03-27 17:42:00.000,2007-03-30 07:36:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.2095,-112.2284,,,,,,,2007MX-05841,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05843,4405843,Physeter macrocephalus,2007-03-27 18:08:00.000,2007-03-28 08:37:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.2046,-112.217,,,,,,,2007MX-05843,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-00837,4400837,Physeter macrocephalus,2007-03-27 18:36:00.000,2007-03-30 10:01:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.2003,-112.2013,,,,,,,2007MX-00837,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05938,4405938,Physeter macrocephalus,2007-03-27 21:28:00.000,2007-03-29 05:00:27.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.119,-112.129,,,,,,,2007MX-05938,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05923,4405923,Physeter macrocephalus,2007-03-27 21:57:00.000,2007-03-30 06:09:56.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.104,-112.104,,,,,,,2007MX-05923,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-00829,4400829,Physeter macrocephalus,2007-04-02 20:23:00.000,2007-04-03 16:32:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.2366,-112.1586,,,,,,,2007MX-00829,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05883,4405883,Physeter macrocephalus,2007-04-02 21:54:00.000,2007-04-15 23:28:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.1497,-112.0942,,,,,,,2007MX-05883,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05910,4405910,Physeter macrocephalus,2007-04-02 22:13:00.000,2007-04-10 06:36:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.1898,-112.0824,,,,,,,2007MX-05910,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2007MX-MK10-05922,4405922,Physeter macrocephalus,2007-04-02 22:41:00.000,2007-04-03 15:05:00.000,,,,,,,,adult,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,28.1616,-112.0598,,,,,,,2007MX-05922,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
